key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_007_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.870504,0.843886,0.902933,0.887129,0.856766,0.921157,125.000000,127.000000,225.000000,75184,72301,82798,66367,
test_016_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.813892,0.877170,0.879340,0.786854,0.861335,0.877082,131.000000,112.000000,224.000000,78921,94134,82867,90177,
test_018_n,large,test,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.858476,0.862797,0.882103,0.874814,0.858501,0.897376,111.000000,142.000000,183.000000,180425,216107,181901,223723,
test_022_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.885655,0.868510,0.887435,0.903828,0.893135,0.916642,85.000000,69.000000,141.000000,73437,76574,78970,90047,
test_024_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.876472,0.881147,0.889467,0.865353,0.890365,0.896671,82.000000,66.000000,141.000000,65332,88672,65043,94478,
test_027_g,large,test,expert,2094,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.903606,0.910938,0.915294,0.923584,0.922012,0.936418,69.000000,59.000000,121.000000,169726,173332,182722,185094,
test_035_a,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.901417,0.926370,0.920504,0.921130,0.932804,0.936250,60.000000,64.000000,124.000000,73971,79467,75334,82967,
test_040_g,square,test,expert,1277,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.864633,0.882797,0.897433,0.896200,0.917356,0.942737,70.000000,55.000000,111.000000,68926,82095,68124,96023,
test_044_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.873789,0.903276,0.906096,0.908899,0.932385,0.951617,92.000000,73.000000,149.000000,68365,80041,74768,87250,
test_047_a,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.891249,0.918552,0.920529,0.912696,0.932331,0.951235,56.000000,41.000000,94.000000,68990,82621,70374,82981,
test_048_d,large,test,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.867086,0.910561,0.908946,0.867536,0.921177,0.924045,84.000000,65.000000,138.000000,162587,233564,153827,243151,
test_052_n,square,test,expert,1279,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.880487,0.905625,0.901059,0.942377,0.947859,0.955404,53.000000,67.000000,124.000000,54899,66971,60160,75810,
test_064_d,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.907340,0.925320,0.924610,0.937496,0.949311,0.951076,61.000000,93.000000,142.000000,73339,82058,78097,84788,
test_074_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.897373,0.927966,0.926508,0.905520,0.928924,0.941089,103.000000,102.000000,206.000000,65931,78159,70534,78379,
test_077_g,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.871008,0.917630,0.905921,0.899512,0.941235,0.935348,97.000000,109.000000,191.000000,57963,76995,64176,82226,
test_078_d,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.858350,0.881780,0.881723,0.886620,0.915504,0.922586,55.000000,44.000000,97.000000,62793,79368,72562,95163,
test_086_n,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.879597,0.886079,0.894040,0.932274,0.911527,0.928943,74.000000,70.000000,152.000000,56648,63872,64844,74838,
test_090_g,square,test,expert,1276,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.885941,0.880476,0.906257,0.911388,0.900719,0.944772,68.000000,49.000000,110.000000,71166,74129,74855,88692,
test_095_g,square,test,expert,1273,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.875305,0.841039,0.888796,0.913756,0.880027,0.940363,66.000000,64.000000,129.000000,72630,63955,76710,81603,
test_099_d,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.881586,0.900861,0.916494,0.906327,0.902111,0.947840,74.000000,57.000000,137.000000,72905,78006,77955,83948,
train_001_g,square,train,expert,1277,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.894024,0.908988,0.911350,0.950352,0.942510,0.954061,74.000000,71.000000,142.000000,61807,78469,69326,85300,
train_002_n,square,train,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.846931,0.877309,0.906740,0.852752,0.882754,0.943552,122.000000,71.000000,198.000000,72046,85556,69217,97921,
train_003_n,square,train,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.861989,0.896159,0.904698,0.870732,0.897172,0.929403,78.000000,140.000000,209.000000,56759,81851,60094,91819,
train_004_d,square,train,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.850921,0.891477,0.888329,0.875646,0.899381,0.914313,90.000000,118.000000,218.000000,44996,57738,54186,65830,
train_005_n,square,train,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.882082,0.888956,0.915411,0.870215,0.880414,0.925270,103.000000,167.000000,265.000000,72921,73285,70136,75053,
train_006_a,square,train,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.898239,0.908766,0.936645,0.899618,0.912433,0.959175,84.000000,72.000000,147.000000,79210,76223,81736,74368,
train_008_n,large,train,expert,2094,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.850637,0.879389,0.879013,0.845944,0.882592,0.891404,164.000000,185.000000,250.000000,185625,208401,187693,212057,
train_009_d,large,train,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.850201,0.883447,0.880022,0.856951,0.890077,0.895081,147.000000,239.000000,313.000000,207036,230274,207614,241193,
train_010_d,large,train,expert,2094,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.831187,0.853086,0.874256,0.813443,0.847568,0.885824,235.000000,177.000000,288.000000,174720,221955,185892,234210,
train_011_n,large,train,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.819798,0.859745,0.857655,0.816627,0.855953,0.866435,198.000000,182.000000,263.000000,181459,205036,176605,204504,
train_012_n,large,train,expert,2094,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.805249,0.866564,0.867934,0.828795,0.844684,0.889408,144.000000,117.000000,205.000000,178232,211348,211759,215007,
train_013_a,square,train,expert,1277,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.872982,0.877372,0.881661,0.905475,0.908501,0.917580,42.000000,67.000000,98.000000,68366,86538,76086,98248,
train_014_d,square,train,expert,1276,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.856039,0.884773,0.893867,0.884505,0.899155,0.932176,74.000000,98.000000,169.000000,75998,82272,86532,87324,
train_015_n,square,train,expert,1276,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.871160,0.889707,0.902456,0.890960,0.904994,0.932608,118.000000,92.000000,192.000000,76045,97882,80188,100480,
train_017_g,square,train,expert,1279,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.878855,0.873602,0.892615,0.929035,0.895245,0.935194,59.000000,98.000000,140.000000,76351,80406,86181,89486,
train_019_g,square,train,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.892501,0.870399,0.898257,0.929199,0.901797,0.945601,83.000000,101.000000,186.000000,61374,54420,66711,63179,
train_020_n,large,train,expert,2094,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.821752,0.854979,0.888844,0.826217,0.850084,0.919373,139.000000,121.000000,182.000000,188970,220858,193586,234103,
train_021_n,large,train,expert,2095,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.825934,0.855990,0.879368,0.825574,0.849455,0.900627,189.000000,193.000000,249.000000,206845,233757,210733,228295,
train_023_n,square,train,expert,1273,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.866947,0.868054,0.878865,0.919250,0.885241,0.922091,60.000000,71.000000,105.000000,63421,68789,73164,83220,
train_025_g,large,train,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.909335,0.908836,0.915104,0.918827,0.911285,0.922594,97.000000,100.000000,193.000000,191195,201306,181805,191348,
train_026_g,large,train,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.905158,0.920076,0.926306,0.909437,0.928459,0.939378,81.000000,73.000000,148.000000,190429,210825,189878,215803,
train_028_g,large,train,expert,2095,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.910187,0.889487,0.908402,0.919931,0.885029,0.914009,69.000000,71.000000,131.000000,186133,208504,196841,205883,
train_029_d,large,train,expert,2096,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.897447,0.907417,0.908731,0.935462,0.925821,0.936901,71.000000,68.000000,128.000000,141969,232979,154523,254744,
train_030_a,square,train,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.911227,0.934462,0.928240,0.936242,0.955133,0.954951,59.000000,76.000000,126.000000,83358,92473,80994,92900,
train_031_g,square,train,expert,1277,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.888011,0.913669,0.914899,0.915884,0.939559,0.952573,47.000000,78.000000,126.000000,63659,75606,70934,80641,
train_032_a,square,train,expert,1278,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.909790,0.926656,0.925100,0.925243,0.947008,0.944658,58.000000,47.000000,114.000000,65238,76395,67430,77878,
train_033_g,square,train,expert,1273,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.886266,0.900099,0.916097,0.897924,0.919830,0.938381,33.000000,41.000000,80.000000,69136,81875,69996,84971,
train_034_g,square,train,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.872097,0.884736,0.900554,0.909752,0.915525,0.947440,72.000000,123.000000,194.000000,64622,75004,72138,85141,
train_036_a,large,train,expert,2095,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.870354,0.912249,0.907040,0.893232,0.922586,0.928193,50.000000,66.000000,112.000000,161725,238704,166429,242430,
train_037_n,large,train,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.895942,0.892796,0.902669,0.898367,0.898888,0.915273,87.000000,101.000000,176.000000,163521,225310,156792,227779,
train_038_n,large,train,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.895999,0.912889,0.919918,0.893716,0.917915,0.936006,86.000000,95.000000,156.000000,170708,251348,161826,257450,
train_039_n,square,train,expert,1279,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.893086,0.913431,0.915396,0.917475,0.917691,0.941490,76.000000,84.000000,158.000000,72292,74855,76912,79241,
train_041_n,square,train,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.893858,0.904063,0.913259,0.913162,0.909607,0.939813,81.000000,118.000000,192.000000,68853,74411,70460,80034,
train_042_a,square,train,expert,1273,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.892540,0.897360,0.903107,0.901334,0.881854,0.906858,80.000000,79.000000,156.000000,76795,84258,77840,78457,
train_043_n,square,train,expert,1279,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.894307,0.911853,0.911149,0.922329,0.936075,0.943015,110.000000,104.000000,197.000000,64577,82349,68147,89534,
train_045_a,square,train,expert,1278,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.892481,0.843246,0.879303,0.915125,0.852143,0.905522,66.000000,101.000000,161.000000,70975,65194,75074,72946,
train_046_n,large,train,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.913129,0.918077,0.920342,0.933839,0.935424,0.939619,105.000000,52.000000,139.000000,184974,257764,193334,247492,
train_049_a,square,train,expert,1276,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.825132,0.873969,0.903152,0.839164,0.857782,0.942510,127.000000,73.000000,192.000000,66303,80083,78881,80655,
