key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
train_dr_xju_134,good,annotator1=bad;annotator2=good;annotator3=good;consensus=good,graded,usable,false,0.677093,0.322907,0.077991,0.599103,
train_dr_xju_86,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,false,0.028879,0.971121,0.000126,0.028754,
train_dr_xju_87,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,false,0.051441,0.948559,0.000365,0.051077,
train_dr_xju_88,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,false,0.025690,0.974310,0.000148,0.025541,
train_dr_xju_89,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,false,0.029976,0.970024,0.000245,0.029732,
train_dr_zju_1,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.964668,0.035332,0.352408,0.612260,
train_dr_zju_100,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.857723,0.142277,0.296970,0.560753,
train_dr_zju_101,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.880925,0.119075,0.286796,0.594129,
train_dr_zju_103,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.992884,0.007117,0.871918,0.120966,
train_dr_zju_104,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.992351,0.007649,0.880759,0.111592,
train_dr_zju_105,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.953979,0.046021,0.281990,0.671989,
train_dr_zju_106,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.831207,0.168793,0.331457,0.499750,
train_dr_zju_107,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.994698,0.005302,0.901056,0.093642,
train_dr_zju_108,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.961267,0.038733,0.743369,0.217898,
train_dr_zju_109,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.912296,0.087704,0.399464,0.512832,
train_dr_zju_110,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.968428,0.031572,0.646619,0.321809,
train_dr_zju_111,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.961226,0.038774,0.552019,0.409207,
train_dr_zju_112,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.999930,0.000070,0.993214,0.006716,
train_dr_zju_113,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,false,0.015964,0.984036,0.000061,0.015903,
train_dr_zju_114,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,false,0.016098,0.983902,0.000111,0.015987,
train_dr_zju_115,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.955661,0.044339,0.662233,0.293427,
train_dr_zju_116,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.986042,0.013958,0.774266,0.211776,
train_dr_zju_117,good,annotator1=good;annotator2=good;annotator3=good,graded,bad,false,0.432653,0.567347,0.028183,0.404470,
train_dr_zju_118,good,annotator1=good;annotator2=good;annotator3=good,graded,bad,false,0.398402,0.601598,0.027142,0.371260,
train_dr_zju_119,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.999227,0.000773,0.961096,0.038131,
train_dr_zju_12,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,false,0.685531,0.314469,0.158483,0.527048,
train_dr_zju_120,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.962334,0.037666,0.590269,0.372065,
train_dr_zju_121,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.999315,0.000685,0.981936,0.017379,
train_dr_zju_122,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.999214,0.000786,0.974875,0.024339,
train_dr_zju_123,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.996876,0.003124,0.901933,0.094943,
train_dr_zju_124,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.997605,0.002395,0.913630,0.083975,
train_dr_zju_125,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.981766,0.018234,0.805536,0.176230,
train_dr_zju_126,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.993178,0.006822,0.892706,0.100473,
train_dr_zju_127,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.907481,0.092519,0.214607,0.692874,
train_dr_zju_128,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.910067,0.089933,0.508360,0.401707,
train_dr_zju_129,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.973121,0.026879,0.651376,0.321746,
train_dr_zju_13,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,false,0.742120,0.257880,0.097569,0.644551,
train_dr_zju_130,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.972930,0.027070,0.773064,0.199866,
train_dr_zju_131,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.997816,0.002184,0.878465,0.119351,
train_dr_zju_132,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,false,0.055594,0.944406,0.000901,0.054693,
train_dr_zju_133,good,annotator1=good;annotator2=good;annotator3=good,graded,bad,false,0.497397,0.502603,0.059887,0.437510,
train_dr_zju_134,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.970678,0.029322,0.460983,0.509695,
train_dr_zju_136,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.993162,0.006838,0.803403,0.189758,
train_dr_zju_138,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,false,0.060633,0.939367,0.001050,0.059583,
train_dr_zju_139,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.995836,0.004164,0.750556,0.245280,
train_dr_zju_14,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,false,0.005765,0.994235,0.000047,0.005718,
train_dr_zju_140,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.949506,0.050494,0.191017,0.758489,
train_dr_zju_141,good,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.995112,0.004888,0.852829,0.142282,
