key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
ret002_od,good,,graded,usable,true,0.850153,0.149847,0.421863,0.428290,
ret002_os,good,,graded,good,true,0.927081,0.072919,0.562521,0.364561,
ret004_od,good,,graded,bad,false,0.514159,0.485841,0.089842,0.424317,
ret004_os,good,,graded,usable,true,0.786076,0.213924,0.317575,0.468502,
ret005_od,good,,graded,good,true,0.724498,0.275502,0.460553,0.263946,
ret005_os,good,,graded,bad,false,0.422190,0.577810,0.107003,0.315187,
ret006_od,good,,graded,bad,false,0.157632,0.842368,0.008589,0.149044,
ret006_os,good,,graded,bad,false,0.096204,0.903796,0.003996,0.092209,
ret007_od,good,,graded,good,true,0.980922,0.019078,0.811769,0.169153,
ret007_os,good,,graded,good,true,0.977406,0.022594,0.820559,0.156847,
ret008_od,good,,graded,bad,false,0.270908,0.729092,0.046426,0.224482,
ret008_os,good,,graded,usable,false,0.577918,0.422082,0.123842,0.454076,
ret009_od,good,,graded,bad,false,0.003451,0.996549,0.000028,0.003423,
ret009_os,good,,graded,bad,false,0.004962,0.995038,0.000045,0.004917,
ret010_od,good,,graded,bad,false,0.003090,0.996910,0.000017,0.003074,
ret010_os,good,,graded,bad,false,0.002325,0.997675,0.000013,0.002313,
ret013_od,good,,graded,bad,false,0.347441,0.652559,0.025427,0.322014,
ret013_os,good,,graded,bad,false,0.006254,0.993746,0.000059,0.006195,
ret014_od,good,,graded,good,true,0.915375,0.084625,0.460143,0.455232,
ret014_os,good,,graded,usable,true,0.800418,0.199582,0.212659,0.587759,
ret015_od,good,,graded,bad,false,0.473859,0.526141,0.139520,0.334339,
ret015_os,good,,graded,bad,false,0.258348,0.741652,0.030177,0.228170,
ret016_od,good,,graded,bad,false,0.007113,0.992887,0.000058,0.007054,
ret016_os,good,,graded,bad,false,0.037507,0.962493,0.000986,0.036522,
ret018_od,good,,graded,bad,false,0.401167,0.598833,0.122849,0.278318,
ret018_os,good,,graded,good,true,0.856780,0.143220,0.538148,0.318631,
ret019_od,good,,graded,bad,false,0.172417,0.827583,0.033222,0.139195,
ret019_os,good,,graded,bad,false,0.113699,0.886301,0.006908,0.106791,
ret020_od,good,,graded,bad,false,0.035643,0.964357,0.000810,0.034833,
ret020_os,good,,graded,bad,false,0.006522,0.993478,0.000025,0.006496,
ret021_od,good,,graded,bad,false,0.486316,0.513684,0.105079,0.381237,
ret021_os,good,,graded,usable,false,0.672880,0.327120,0.215542,0.457339,
ret023_od,good,,graded,usable,false,0.735965,0.264035,0.268363,0.467602,
ret023_os,good,,graded,bad,false,0.325530,0.674469,0.020481,0.305049,
ret024_od,good,,graded,bad,false,0.248791,0.751209,0.064194,0.184598,
ret024_os,good,,graded,bad,false,0.347709,0.652291,0.084742,0.262967,
ret025_od,good,,graded,bad,false,0.525176,0.474824,0.109886,0.415290,
ret025_os,good,,graded,bad,false,0.469644,0.530356,0.029414,0.440230,
ret026_od,good,,graded,bad,false,0.351604,0.648396,0.108399,0.243205,
ret026_os,good,,graded,bad,false,0.168846,0.831154,0.034573,0.134273,
ret027_od,good,,graded,usable,true,0.904508,0.095492,0.378297,0.526211,
ret027_os,good,,graded,usable,false,0.637528,0.362472,0.241066,0.396462,
ret028_od,good,,graded,bad,false,0.416269,0.583731,0.125010,0.291259,
ret028_os,good,,graded,bad,false,0.197416,0.802584,0.033606,0.163810,
ret029_od,good,,graded,bad,false,0.104008,0.895992,0.017702,0.086306,
ret029_os,good,,graded,bad,false,0.017858,0.982142,0.000687,0.017170,
ret030_od,good,,graded,good,true,0.699518,0.300482,0.477004,0.222514,
ret030_os,good,,graded,good,true,0.971567,0.028433,0.797564,0.174003,
ret031_od,good,,graded,bad,false,0.112902,0.887098,0.015582,0.097320,
ret031_os,good,,graded,good,true,0.835041,0.164959,0.643306,0.191735,
ret032_od,good,,graded,bad,false,0.154854,0.845146,0.060620,0.094233,
ret032_os,good,,graded,bad,false,0.095001,0.904999,0.020943,0.074058,
ret033_od,good,,graded,bad,false,0.006803,0.993197,0.000046,0.006757,
ret033_os,good,,graded,bad,false,0.018429,0.981571,0.000175,0.018254,
ret034_od,good,,graded,good,true,0.814373,0.185627,0.432507,0.381865,
ret034_os,good,,graded,usable,false,0.635549,0.364451,0.142449,0.493100,
ret035_od,good,,graded,good,true,0.923426,0.076574,0.697301,0.226126,
ret035_os,good,,graded,good,true,0.857988,0.142012,0.641218,0.216770,
ret036_od,good,,graded,good,true,0.908253,0.091747,0.604534,0.303719,
ret036_os,good,,graded,good,true,0.807172,0.192828,0.494889,0.312283,
ret037_od,good,,graded,good,true,0.959639,0.040361,0.655411,0.304228,
ret037_os,good,,graded,good,true,0.961223,0.038777,0.707252,0.253971,
ret038_od,good,,graded,good,true,0.929951,0.070049,0.661126,0.268825,
ret038_os,good,,graded,good,true,0.935880,0.064120,0.637382,0.298498,
ret039_od,good,,graded,bad,false,0.004898,0.995102,0.000036,0.004862,
ret039_os,good,,graded,bad,false,0.500245,0.499755,0.200279,0.299966,
ret041_od,good,,graded,bad,false,0.514400,0.485600,0.150994,0.363407,
ret041_os,good,,graded,bad,false,0.437834,0.562166,0.128133,0.309701,
ret042_od,good,,graded,bad,false,0.323991,0.676009,0.084300,0.239692,
ret042_os,good,,graded,bad,false,0.253017,0.746983,0.047369,0.205648,
ret044_od,good,,graded,bad,false,0.526157,0.473843,0.063905,0.462252,
ret044_os,good,,graded,bad,false,0.209046,0.790954,0.029898,0.179148,
ret045_od,good,,graded,bad,false,0.541887,0.458113,0.164118,0.377768,
ret045_os,good,,graded,bad,false,0.352621,0.647379,0.088949,0.263673,
ret046_od,good,,graded,good,true,0.963565,0.036435,0.787573,0.175992,
ret046_os,good,,graded,bad,false,0.018259,0.981741,0.000140,0.018119,
ret047_od,good,,graded,bad,false,0.470726,0.529274,0.102773,0.367953,
ret047_os,good,,graded,usable,true,0.769819,0.230181,0.360821,0.408998,
ret048_od,good,,graded,usable,true,0.805376,0.194624,0.243042,0.562334,
ret048_os,good,,graded,usable,false,0.697655,0.302345,0.182785,0.514870,
ret050_od,good,,graded,good,true,0.747105,0.252895,0.384445,0.362661,
ret050_os,good,,graded,good,true,0.832908,0.167092,0.441270,0.391639,
ret051_od,good,,graded,usable,true,0.900696,0.099304,0.404835,0.495862,
ret051_os,good,,graded,usable,true,0.882101,0.117899,0.400850,0.481251,
ret053_od,good,,graded,bad,false,0.003740,0.996260,0.000038,0.003703,
ret053_os,good,,graded,bad,false,0.066365,0.933635,0.005516,0.060850,
ret055_od,good,,graded,bad,false,0.003919,0.996081,0.000053,0.003866,
ret055_os,good,,graded,bad,false,0.189262,0.810738,0.015507,0.173755,
ret056_od,good,,graded,bad,false,0.506937,0.493063,0.093010,0.413927,
ret056_os,good,,graded,bad,false,0.017406,0.982594,0.000290,0.017115,
ret057_od,good,,graded,bad,false,0.469360,0.530640,0.175256,0.294104,
ret057_os,good,,graded,bad,false,0.343538,0.656462,0.076536,0.267002,
ret062_od,good,,graded,bad,false,0.339524,0.660476,0.074958,0.264566,
ret062_os,good,,graded,bad,false,0.172567,0.827433,0.042328,0.130239,
ret064_od,good,,graded,bad,false,0.272073,0.727927,0.043506,0.228567,
ret064_os,good,,graded,bad,false,0.192984,0.807016,0.015507,0.177477,
ret065_od,good,,graded,bad,false,0.004416,0.995584,0.000028,0.004389,
ret065_os,good,,graded,bad,false,0.088808,0.911192,0.001999,0.086809,
ret066_od,good,,graded,bad,false,0.013502,0.986498,0.000137,0.013365,
ret066_os,good,,graded,bad,false,0.010480,0.989520,0.000149,0.010331,
ret067_od,good,,graded,good,true,0.906356,0.093644,0.573356,0.332999,
ret067_os,good,,graded,usable,true,0.858949,0.141051,0.424130,0.434819,
ret068_od,good,,graded,bad,false,0.019511,0.980489,0.000194,0.019318,
ret068_os,good,,graded,bad,false,0.013810,0.986190,0.000173,0.013637,
