key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
test_100_d,main,test,good,derived,0.0000,,graded,,false,0.475863,
test_101_g,main,test,bad,derived,0.0000,,graded,,false,0.049804,
test_102_g,main,test,bad,derived,0.0000,,graded,,false,0.067318,
test_103_g,main,test,usable,derived,0.0000,,graded,,false,0.200829,
test_104_g,main,test,usable,derived,0.0000,,graded,,false,0.276540,
test_105_g,main,test,good,derived,0.0000,,graded,,false,0.381396,
test_106_g,main,test,good,derived,0.0000,,graded,,true,0.768954,
test_107_g,main,test,good,derived,0.0000,,graded,,true,0.694874,
test_108_g,main,test,bad,derived,0.0000,,graded,,false,0.233042,
test_109_g,main,test,good,derived,0.0000,,graded,,true,0.604289,
test_10_a,main,test,usable,derived,0.0000,,graded,,false,0.360341,
test_110_g,main,test,good,derived,0.0000,,graded,,false,0.397359,
test_111_g,main,test,usable,derived,0.0000,,graded,,false,0.180829,
test_112_g,main,test,usable,derived,0.0000,,graded,,false,0.057659,
test_113_g,main,test,bad,derived,0.0000,,graded,,false,0.010386,
test_114_g,main,test,bad,derived,0.0000,,graded,,false,0.010731,
test_115_g,main,test,good,derived,0.0000,,graded,,false,0.431451,
test_116_g,main,test,usable,derived,0.0000,,graded,,false,0.042422,
test_117_g,main,test,good,derived,0.0000,,graded,,false,0.407723,
test_118_g,main,test,good,derived,0.0000,,graded,,true,0.813681,
test_119_g,main,test,bad,derived,0.0000,,graded,,false,0.067495,
test_11_a,main,test,good,derived,0.0000,,graded,,false,0.315240,
test_120_g,main,test,usable,derived,0.0000,,graded,,false,0.459036,
test_121_g,main,test,bad,derived,0.0000,,graded,,false,0.032012,
test_122_g,main,test,bad,derived,0.0000,,graded,,false,0.009373,
test_123_g,main,test,bad,derived,0.0000,,graded,,false,0.009225,
test_124_g,main,test,usable,derived,0.0000,,graded,,false,0.062775,
test_125_g,main,test,good,derived,0.0000,,graded,,false,0.262745,
test_126_g,main,test,good,derived,0.0000,,graded,,false,0.407622,
test_127_g,main,test,good,derived,0.0000,,graded,,false,0.270374,
test_128_g,main,test,usable,derived,0.0000,,graded,,false,0.328430,
test_129_g,main,test,usable,derived,0.0000,,graded,,false,0.283440,
test_12_a,main,test,good,derived,0.0000,,graded,,true,0.647371,
test_130_g,main,test,good,derived,0.0000,,graded,,true,0.522621,
test_131_g,main,test,good,derived,0.0000,,graded,,true,0.664002,
test_132_g,main,test,good,derived,0.0000,,graded,,false,0.213260,
test_133_g,main,test,bad,derived,0.0000,,graded,,false,0.015251,
test_134_g,main,test,usable,derived,0.0000,,graded,,false,0.411196,
test_135_g,main,test,usable,derived,0.0000,,graded,,false,0.153827,
test_136_g,main,test,bad,derived,0.0000,,graded,,false,0.009416,
test_137_g,main,test,bad,derived,0.0000,,graded,,false,0.018567,
test_138_g,main,test,bad,derived,0.0000,,graded,,false,0.041894,
test_139_g,main,test,good,derived,0.0000,,graded,,true,0.699980,
test_13_a,main,test,good,derived,0.0000,,graded,,true,0.564998,
test_140_g,main,test,good,derived,0.0000,,graded,,false,0.254147,
test_141_g,main,test,good,derived,0.0000,,graded,,false,0.403310,
test_142_g,main,test,good,derived,0.0000,,graded,,true,0.739159,
test_143_g,main,test,good,derived,0.0000,,graded,,true,0.756369,
test_144_g,main,test,bad,derived,0.0000,,graded,,false,0.077750,
test_145_g,main,test,bad,derived,0.0000,,graded,,false,0.022773,
test_146_g,main,test,good,derived,0.0000,,graded,,true,0.783323,
test_147_g,main,test,good,derived,0.0000,,graded,,false,0.217646,
test_148_g,main,test,bad,derived,0.0000,,graded,,false,0.022848,
test_149_g,main,test,usable,derived,0.0000,,graded,,false,0.090524,
test_14_a,main,test,good,derived,0.0000,,graded,,true,0.756299,
test_150_g,main,test,good,derived,0.0000,,graded,,false,0.484822,
test_151_n,main,test,good,derived,0.0000,,graded,,false,0.351638,
test_152_n,main,test,usable,derived,0.0000,,graded,,false,0.312384,
test_153_n,main,test,bad,derived,0.0000,,graded,,false,0.177843,
test_154_n,main,test,bad,derived,0.0000,,graded,,false,0.190240,
test_155_n,main,test,bad,derived,0.0000,,graded,,false,0.038912,
test_156_n,main,test,usable,derived,0.0000,,graded,,false,0.103466,
test_157_n,main,test,usable,derived,0.0000,,graded,,false,0.228247,
test_158_n,main,test,good,derived,0.0000,,graded,,false,0.109088,
test_159_n,main,test,good,derived,0.0000,,graded,,false,0.414304,
test_15_a,main,test,good,derived,0.0000,,graded,,true,0.668043,
test_160_n,main,test,usable,derived,0.0000,,graded,,false,0.498296,
test_161_n,main,test,good,derived,0.0000,,graded,,false,0.185120,
test_162_n,main,test,good,derived,0.0000,,graded,,false,0.288440,
test_163_n,main,test,usable,derived,0.0000,,graded,,false,0.170573,
test_164_n,main,test,usable,derived,0.0000,,graded,,false,0.126973,
test_165_n,main,test,usable,derived,0.0000,,graded,,false,0.364288,
test_166_n,main,test,good,derived,0.0000,,graded,,false,0.328750,
test_167_n,main,test,good,derived,0.0000,,graded,,false,0.359348,
test_168_n,main,test,usable,derived,0.0000,,graded,,false,0.299910,
test_169_n,main,test,usable,derived,0.0000,,graded,,false,0.153692,
test_16_a,main,test,good,derived,0.0000,,graded,,true,0.674405,
test_170_n,main,test,usable,derived,0.0000,,graded,,false,0.190295,
test_171_n,main,test,good,derived,0.0000,,graded,,true,0.744289,
test_172_n,main,test,good,derived,0.0000,,graded,,true,0.706563,
test_173_n,main,test,good,derived,0.0000,,graded,,false,0.437390,
test_174_n,main,test,good,derived,0.0000,,graded,,true,0.500571,
test_175_n,main,test,good,derived,0.0000,,graded,,false,0.465148,
test_176_n,main,test,good,derived,0.0000,,graded,,false,0.492645,
test_177_n,main,test,good,derived,0.0000,,graded,,false,0.329613,
test_178_n,main,test,good,derived,0.0000,,graded,,false,0.415028,
test_179_n,main,test,good,derived,0.0000,,graded,,true,0.744157,
test_17_a,main,test,good,derived,0.0000,,graded,,true,0.639318,
test_180_n,main,test,good,derived,0.0000,,graded,,true,0.696333,
test_181_n,main,test,good,derived,0.0000,,graded,,false,0.376558,
test_182_n,main,test,good,derived,0.0024,,graded,,true,0.667688,
test_183_n,main,test,usable,derived,0.0000,,graded,,false,0.198475,
test_184_n,main,test,good,derived,0.0015,,graded,,true,0.630549,
test_185_n,main,test,good,derived,0.0000,,graded,,false,0.453336,
test_186_n,main,test,good,derived,0.0000,,graded,,true,0.521093,
test_187_n,main,test,good,derived,0.0000,,graded,,true,0.517775,
test_188_n,main,test,good,derived,0.0000,,graded,,true,0.557061,
test_189_n,main,test,good,derived,0.0000,,graded,,true,0.584556,
test_18_a,main,test,bad,derived,0.0000,,graded,,false,0.035455,
test_190_n,main,test,good,derived,0.0000,,graded,,false,0.496966,
test_191_n,main,test,good,derived,0.0000,,graded,,false,0.361933,
test_192_n,main,test,usable,derived,0.0000,,graded,,false,0.325814,
test_193_n,main,test,good,derived,0.0000,,graded,,true,0.713477,
test_194_n,main,test,good,derived,0.0000,,graded,,true,0.594316,
test_195_n,main,test,good,derived,0.0000,,graded,,true,0.577778,
test_196_n,main,test,usable,derived,0.0000,,graded,,false,0.177369,
test_197_n,main,test,usable,derived,0.0000,,graded,,false,0.390678,
test_198_n,main,test,good,derived,0.0000,,graded,,true,0.647500,
test_199_n,main,test,good,derived,0.0000,,graded,,true,0.550798,
test_19_a,main,test,bad,derived,0.0000,,graded,,false,0.261488,
test_1_a,main,test,good,derived,0.0000,,graded,,true,0.528969,
test_200_n,main,test,good,derived,0.0000,,graded,,true,0.543629,
test_20_a,main,test,good,derived,0.0000,,graded,,true,0.845621,
test_21_a,main,test,good,derived,0.0000,,graded,,true,0.510198,
test_22_a,main,test,good,derived,0.0000,,graded,,true,0.835420,
test_23_a,main,test,good,derived,0.0000,,graded,,true,0.837760,
test_24_a,main,test,usable,derived,0.0000,,graded,,false,0.251685,
test_25_a,main,test,good,derived,0.0000,,graded,,true,0.607551,
test_26_a,main,test,good,derived,0.0000,,graded,,true,0.719044,
test_27_a,main,test,bad,derived,0.0000,,graded,,false,0.037048,
test_28_a,main,test,good,derived,0.0000,,graded,,true,0.571804,
test_29_a,main,test,good,derived,0.0000,,graded,,false,0.468706,
test_2_a,main,test,good,derived,0.0000,,graded,,true,0.686657,
test_30_a,main,test,good,derived,0.0000,,graded,,true,0.647760,
test_31_a,main,test,good,derived,0.0000,,graded,,true,0.796815,
test_32_a,main,test,good,derived,0.0000,,graded,,true,0.844628,
test_33_a,main,test,good,derived,0.0000,,graded,,true,0.899161,
test_34_a,main,test,good,derived,0.0000,,graded,,true,0.506252,
test_35_a,main,test,good,derived,0.0000,,graded,,true,0.829373,
test_36_a,main,test,good,derived,0.0000,,graded,,true,0.814522,
test_37_a,main,test,usable,derived,0.0000,,graded,,false,0.114279,
test_38_a,main,test,good,derived,0.0000,,graded,,false,0.362819,
test_39_a,main,test,good,derived,0.0000,,graded,,true,0.632477,
test_3_a,main,test,good,derived,0.0000,,graded,,true,0.823604,
test_40_a,main,test,good,derived,0.0000,,graded,,true,0.640612,
test_41_a,main,test,good,derived,0.0000,,graded,,true,0.580726,
test_42_a,main,test,good,derived,0.0000,,graded,,false,0.334742,
test_43_a,main,test,usable,derived,0.0000,,graded,,false,0.490508,
test_44_a,main,test,good,derived,0.0000,,graded,,true,0.682402,
test_45_a,main,test,good,derived,0.0000,,graded,,false,0.359452,
test_46_a,main,test,good,derived,0.0000,,graded,,false,0.406098,
test_47_a,main,test,usable,derived,0.0000,,graded,,false,0.239557,
test_48_a,main,test,good,derived,0.0000,,graded,,true,0.844628,
test_49_a,main,test,good,derived,0.0000,,graded,,true,0.728232,
test_4_a,main,test,good,derived,0.0000,,graded,,true,0.660001,
test_50_a,main,test,good,derived,0.0000,,graded,,true,0.584894,
test_51_d,main,test,bad,derived,0.0000,,graded,,false,0.016646,
test_52_d,main,test,good,derived,0.0000,,graded,,false,0.261506,
test_53_d,main,test,bad,derived,0.0000,,graded,,false,0.068264,
test_54_d,main,test,good,derived,0.0000,,graded,,true,0.831631,
test_55_d,main,test,usable,derived,0.0000,,graded,,false,0.108225,
test_56_d,main,test,good,derived,0.0000,,graded,,false,0.174519,
test_57_d,main,test,usable,derived,0.0000,,graded,,false,0.261040,
test_58_d,main,test,good,derived,0.0000,,graded,,true,0.726976,
test_59_d,main,test,good,derived,0.0000,,graded,,false,0.475080,
test_5_a,main,test,good,derived,0.0000,,graded,,true,0.804686,
test_60_d,main,test,good,derived,0.0000,,graded,,false,0.399810,
test_61_d,main,test,usable,derived,0.0000,,graded,,false,0.142756,
test_62_d,main,test,bad,derived,0.0000,,graded,,false,0.017712,
test_63_d,main,test,usable,derived,0.0000,,graded,,false,0.248670,
test_64_d,main,test,usable,derived,0.0000,,graded,,false,0.115167,
test_65_d,main,test,usable,derived,0.0000,,graded,,false,0.268583,
test_66_d,main,test,usable,derived,0.0000,,graded,,false,0.131194,
test_67_d,main,test,good,derived,0.0000,,graded,,false,0.312895,
test_68_d,main,test,good,derived,0.0000,,graded,,false,0.238977,
test_69_d,main,test,good,derived,0.0000,,graded,,true,0.689465,
test_6_a,main,test,good,derived,0.0000,,graded,,true,0.826277,
test_70_d,main,test,good,derived,0.0000,,graded,,true,0.627093,
test_71_d,main,test,good,derived,0.0000,,graded,,false,0.247233,
test_72_d,main,test,good,derived,0.0000,,graded,,false,0.498321,
test_73_d,main,test,good,derived,0.0000,,graded,,false,0.450950,
test_74_d,main,test,good,derived,0.0000,,graded,,true,0.508107,
test_75_d,main,test,good,derived,0.0000,,graded,,true,0.727634,
test_76_d,main,test,usable,derived,0.0000,,graded,,false,0.200479,
test_77_d,main,test,good,derived,0.0000,,graded,,true,0.743228,
test_78_d,main,test,good,derived,0.0000,,graded,,false,0.268010,
test_79_d,main,test,good,derived,0.0000,,graded,,true,0.615409,
test_7_a,main,test,good,derived,0.0000,,graded,,true,0.807196,
test_80_d,main,test,good,derived,0.0000,,graded,,false,0.365935,
test_81_d,main,test,good,derived,0.0000,,graded,,true,0.535024,
test_82_d,main,test,bad,derived,0.0000,,graded,,false,0.240269,
test_83_d,main,test,good,derived,0.0000,,graded,,false,0.432601,
test_84_d,main,test,good,derived,0.0000,,graded,,true,0.658024,
test_85_d,main,test,good,derived,0.0000,,graded,,false,0.262705,
test_86_d,main,test,good,derived,0.0000,,graded,,true,0.633776,
test_87_d,main,test,good,derived,0.0000,,graded,,false,0.242163,
test_88_d,main,test,good,derived,0.0000,,graded,,true,0.538385,
test_89_d,main,test,good,derived,0.0000,,graded,,true,0.686858,
test_8_a,main,test,good,derived,0.0000,,graded,,true,0.601665,
test_90_d,main,test,good,derived,0.0000,,graded,,true,0.646724,
test_91_d,main,test,good,derived,0.0000,,graded,,false,0.321953,
test_92_d,main,test,good,derived,0.0000,,graded,,true,0.633736,
test_93_d,main,test,good,derived,0.0000,,graded,,true,0.584189,
test_94_d,main,test,usable,derived,0.0000,,graded,,false,0.096590,
test_95_d,main,test,usable,derived,0.0000,,graded,,false,0.108435,
test_96_d,main,test,good,derived,0.0000,,graded,,true,0.506167,
test_97_d,main,test,good,derived,0.0000,,graded,,false,0.184170,
test_98_d,main,test,good,derived,0.0000,,graded,,true,0.775648,
test_99_d,main,test,good,derived,0.0000,,graded,,true,0.572044,
test_9_a,main,test,good,derived,0.0000,,graded,,true,0.811850,
train_100_a,main,train,good,derived,0.0000,,graded,,false,0.375652,
train_101_a,main,train,good,derived,0.0000,,graded,,true,0.791883,
train_102_a,main,train,usable,derived,0.0000,,graded,,false,0.371771,
train_103_a,main,train,good,derived,0.0000,,graded,,true,0.635723,
train_104_a,main,train,good,derived,0.0000,,graded,,true,0.607604,
train_105_a,main,train,good,derived,0.0000,,graded,,true,0.559939,
train_106_a,main,train,usable,derived,0.0000,,graded,,false,0.054098,
train_107_a,main,train,usable,derived,0.0000,,graded,,false,0.268077,
train_108_a,main,train,usable,derived,0.0000,,graded,,false,0.182448,
train_109_a,main,train,usable,derived,0.0000,,graded,,false,0.130650,
train_10_a,main,train,good,derived,0.0000,,graded,,true,0.788723,
train_110_a,main,train,good,derived,0.0000,,graded,,false,0.420511,
train_111_a,main,train,good,derived,0.0000,,graded,,false,0.332154,
train_112_a,main,train,good,derived,0.0000,,graded,,true,0.830848,
train_113_a,main,train,good,derived,0.0000,,graded,,true,0.700185,
train_114_a,main,train,good,derived,0.0000,,graded,,true,0.740057,
train_115_a,main,train,good,derived,0.0000,,graded,,true,0.862978,
train_116_a,main,train,good,derived,0.0000,,graded,,true,0.875984,
train_117_a,main,train,good,derived,0.0000,,graded,,false,0.353637,
train_118_a,main,train,good,derived,0.0000,,graded,,false,0.446480,
train_119_a,main,train,good,derived,0.0000,,graded,,true,0.733280,
train_11_a,main,train,good,derived,0.0000,,graded,,true,0.807473,
train_120_a,main,train,good,derived,0.0000,,graded,,false,0.439395,
train_121_a,main,train,good,derived,0.0000,,graded,,true,0.568280,
train_122_a,main,train,good,derived,0.0000,,graded,,false,0.345854,
train_123_a,main,train,good,derived,0.0000,,graded,,false,0.315179,
train_124_a,main,train,good,derived,0.0000,,graded,,false,0.406774,
train_125_a,main,train,good,derived,0.0000,,graded,,true,0.749734,
