key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
img_00000,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,false,0.407708,
img_00001,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,false,0.054341,
img_00002,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,,false,0.102980,
img_00003,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,false,0.149790,
img_00004,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,false,0.058450,
img_00005,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,false,0.309657,
img_00006,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,false,0.005532,
img_00007,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.860669,
img_00016,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.912118,
img_00026,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.649583,
img_00046,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.860710,
img_00047,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.868073,
img_00048,usable,consensus=usable;level1=usable;level2=good;level3=usable,graded,,true,0.868884,
img_00049,good,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.913653,
img_00056,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.825877,
img_00057,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.812291,
img_00058,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.751352,
img_00059,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.880140,
img_00060,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.833722,
img_00073,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.619481,
img_00074,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,false,0.422363,
img_00077,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.658517,
img_00082,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.509287,
img_00084,good,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.675982,
img_00085,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.535797,
img_00086,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.647193,
img_00087,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.607514,
img_00089,good,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.739834,
img_00090,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,false,0.247864,
img_00096,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,false,0.076005,
img_00097,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,false,0.012982,
img_00098,good,consensus=good;level1=good;level2=usable;level3=good,graded,,true,0.665892,
img_00099,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.695709,
img_00100,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,,false,0.289459,
