key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
img_00000,main,unspecified,bad,published,0.0061,consensus=bad;level1=usable;level2=bad;level3=bad,graded,,false,0.407708,
img_00001,main,unspecified,bad,published,0.0062,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,false,0.054341,
img_00002,main,unspecified,bad,published,0.0377,consensus=bad;level1=bad;level2=usable;level3=bad,graded,,false,0.102980,
img_00003,main,unspecified,usable,published,0.0067,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,false,0.149790,
img_00004,main,unspecified,bad,published,0.0051,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,false,0.058450,
img_00005,main,unspecified,usable,published,0.0459,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,false,0.309657,
img_00006,main,unspecified,bad,published,0.0051,consensus=bad;level1=bad;level2=bad;level3=bad,graded,,false,0.005532,
img_00007,main,unspecified,good,published,0.0362,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.860669,
img_00016,main,unspecified,good,published,0.0391,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.912118,
img_00026,main,unspecified,usable,published,0.0348,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.649583,
img_00046,main,unspecified,good,published,0.0377,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.860710,
img_00047,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.868073,
img_00048,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=good;level3=usable,graded,,true,0.868884,
img_00049,main,unspecified,good,published,0.0362,consensus=good;level1=good;level2=good;level3=good,graded,,true,0.913653,
img_00056,main,unspecified,good,published,0.0372,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.825877,
img_00057,main,unspecified,good,published,0.0391,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.812291,
img_00058,main,unspecified,usable,published,0.0348,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.751352,
img_00059,main,unspecified,usable,published,0.0377,consensus=usable;level1=good;level2=usable;level3=usable,graded,,true,0.880140,
img_00060,main,unspecified,good,published,0.0372,consensus=good;level1=good;level2=good;level3=usable,graded,,true,0.833722,
img_00073,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=usable,graded,,true,0.619481,
img_00074,main,unspecified,usable,published,0.0358,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,false,0.422363,
img_00077,main,unspecified,usable,published,0.0367,consensus=usable;level1=usable;level2=usable;level3=bad,graded,,true,0.658517,
