key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
train_dr_xju_134,good,annotator1=bad;annotator2=good;annotator3=good;consensus=good,graded,,false,0.294361,
train_dr_xju_86,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.095540,
train_dr_xju_87,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.126607,
train_dr_xju_88,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.058196,
train_dr_xju_89,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.104593,
train_dr_zju_1,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.369646,
train_dr_zju_100,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.543190,
train_dr_zju_101,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.235363,
train_dr_zju_103,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.712256,
train_dr_zju_104,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.769332,
train_dr_zju_105,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.531330,
train_dr_zju_106,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.484156,
train_dr_zju_107,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.574464,
train_dr_zju_108,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.405592,
train_dr_zju_109,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.264131,
train_dr_zju_110,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.575100,
train_dr_zju_111,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.419277,
train_dr_zju_112,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.739549,
train_dr_zju_113,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.019874,
train_dr_zju_114,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.043746,
train_dr_zju_115,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.697282,
train_dr_zju_116,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.802630,
train_dr_zju_117,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.306666,
train_dr_zju_118,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.472001,
train_dr_zju_119,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.833894,
train_dr_zju_12,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.186757,
train_dr_zju_120,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.742873,
train_dr_zju_121,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.803181,
train_dr_zju_122,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.837569,
train_dr_zju_123,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.752957,
train_dr_zju_124,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.743129,
train_dr_zju_125,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.793484,
train_dr_zju_126,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.768064,
train_dr_zju_127,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.258080,
train_dr_zju_128,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.613368,
train_dr_zju_129,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.456764,
train_dr_zju_13,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.339161,
train_dr_zju_130,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.840150,
train_dr_zju_131,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.841775,
train_dr_zju_132,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.062761,
train_dr_zju_133,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.405067,
train_dr_zju_134,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.459339,
train_dr_zju_136,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.653555,
train_dr_zju_138,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.095084,
train_dr_zju_139,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.493702,
train_dr_zju_14,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.015833,
train_dr_zju_140,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.359324,
train_dr_zju_141,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.776753,
train_dr_zju_142,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.855641,
train_dr_zju_143,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.801503,
train_dr_zju_144,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.575659,
train_dr_zju_145,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.477593,
train_dr_zju_146,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.309426,
train_dr_zju_147,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.071887,
train_dr_zju_148,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.850528,
train_dr_zju_149,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.782855,
train_dr_zju_15,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.116227,
train_dr_zju_150,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.849180,
train_dr_zju_16,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.799082,
train_dr_zju_17,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.748172,
train_dr_zju_18,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.416174,
train_dr_zju_19,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.344499,
train_dr_zju_2,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.454227,
train_dr_zju_20,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.489636,
train_dr_zju_21,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.838253,
train_dr_zju_22,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.789180,
train_dr_zju_23,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.509135,
train_dr_zju_24,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.086640,
train_dr_zju_25,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.458169,
train_dr_zju_26,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.439766,
train_dr_zju_27,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.034252,
train_dr_zju_28,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.206991,
train_dr_zju_29,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.153837,
train_dr_zju_3,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.105701,
train_dr_zju_30,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.510014,
train_dr_zju_31,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.256791,
train_dr_zju_32,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.187796,
train_dr_zju_33,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.069295,
train_dr_zju_34,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.465505,
train_dr_zju_35,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.337342,
train_dr_zju_36,good,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.337932,
train_dr_zju_38,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.719145,
