key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
test_dr_xju_223,cfp,test,bad,published,0.2139,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.011119,
test_dr_zju_151,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.855496,
test_dr_zju_152,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.403151,
test_dr_zju_153,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.140633,
test_dr_zju_156,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.551679,
test_dr_zju_158,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.551347,
test_dr_zju_159,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.372472,
test_dr_zju_160,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.235736,
test_dr_zju_161,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.550330,
test_dr_zju_162,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.125043,
test_dr_zju_163,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.687065,
test_dr_zju_164,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.633529,
test_dr_zju_165,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.822133,
test_dr_zju_167,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.549667,
test_dr_zju_168,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.799863,
test_dr_zju_169,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.598372,
test_dr_zju_170,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.241868,
test_dr_zju_171,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.844173,
test_dr_zju_172,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.839056,
test_dr_zju_173,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.791152,
test_dr_zju_174,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.879089,
test_dr_zju_175,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.184271,
test_dr_zju_176,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.836203,
test_dr_zju_177,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.820466,
test_dr_zju_179,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.136769,
test_dr_zju_180,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.852102,
test_dr_zju_181,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.774780,
test_dr_zju_182,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.219378,
test_dr_zju_183,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.349192,
test_dr_zju_184,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.017694,
test_dr_zju_185,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.092918,
test_dr_zju_186,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.064254,
test_dr_zju_187,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.013428,
test_glaucoma_42,cfp,test,bad,published,0.0039,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.008659,
test_glaucoma_43,cfp,test,bad,published,0.0039,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.017973,
test_glaucoma_44,cfp,test,bad,published,0.0065,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.237307,
test_glaucoma_45,cfp,test,bad,published,0.0039,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.011387,
test_glaucoma_46,cfp,test,bad,published,0.0033,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.009411,
test_glaucoma_47,cfp,test,bad,published,0.0052,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.012941,
test_glaucoma_48,cfp,test,bad,published,0.0059,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.007588,
test_glaucoma_49,cfp,test,bad,published,0.0046,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.012579,
test_glaucoma_50,cfp,test,bad,published,0.0046,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.012192,
test_glaucoma_51,cfp,test,bad,published,0.0091,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.030884,
test_glaucoma_52,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.024758,
test_healthy_22,cfp,test,good,published,0.0078,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.595687,
test_healthy_23,cfp,test,good,published,0.0072,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.481425,
test_healthy_24,cfp,test,good,published,0.0059,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.350440,
test_healthy_25,cfp,test,good,published,0.0078,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.629807,
test_healthy_26,cfp,test,good,published,0.0091,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.526513,
test_local1_160,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.013556,
test_local1_161,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.017258,
test_local1_162,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.070857,
test_local1_163,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.013397,
test_local1_164,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.025188,
test_local1_165,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.014281,
test_local1_166,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.018069,
test_local1_167,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.021962,
test_local1_168,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.013556,
test_local1_169,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.070857,
test_local1_170,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.020288,
test_local1_171,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.024779,
test_local1_172,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.015338,
test_local1_173,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.028824,
test_local1_174,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.037045,
test_local1_175,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.023515,
test_local1_176,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.014573,
test_local1_177,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.012784,
test_local1_178,portable,test,good,published,0.0000,annotator1=bad;annotator2=good;annotator3=bad;consensus=good,graded,,false,0.187182,
test_local1_179,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.704854,
test_local1_180,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.125738,
test_local1_181,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.021514,
test_local1_182,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.141652,
test_local1_183,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.623403,
test_local1_184,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.399591,
test_local1_185,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.306959,
test_local1_186,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.258233,
test_local1_187,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.592905,
test_local1_188,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.478884,
test_local1_189,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.462040,
test_local1_190,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.452038,
test_local1_191,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.526240,
test_local1_192,portable,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,false,0.354277,
test_local1_193,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.193223,
test_local1_194,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.161670,
test_local1_195,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.123864,
test_local1_196,portable,test,good,published,0.0000,annotator1=bad;annotator2=good;annotator3=good;consensus=good,graded,,false,0.282788,
test_local1_197,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.047763,
test_local1_198,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.052694,
test_local1_199,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.173579,
test_local2_100,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.056991,
test_local2_101,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.057208,
test_local2_102,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.020199,
test_local2_103,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.009573,
test_local2_84,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.042608,
test_local2_85,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.014152,
test_local2_86,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.005139,
test_local2_87,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.012380,
test_local2_88,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.016217,
test_local2_89,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.039637,
test_local2_90,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.052819,
test_local2_91,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.021710,
test_local2_92,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.054936,
test_local2_93,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.009003,
test_local2_94,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.013958,
test_local2_95,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.012943,
test_local2_96,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.037279,
test_local2_97,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.024804,
test_local2_98,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.018531,
test_local2_99,portable,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=good;consensus=bad,graded,,false,0.068986,
train_dr_xju_134,cfp,train,good,published,0.2019,annotator1=bad;annotator2=good;annotator3=good;consensus=good,graded,,false,0.294361,
train_dr_xju_86,cfp,train,bad,published,0.2172,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.095540,
train_dr_xju_87,cfp,train,bad,published,0.2172,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.126607,
train_dr_xju_88,cfp,train,bad,published,0.2172,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.058196,
train_dr_xju_89,cfp,train,bad,published,0.2143,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,false,0.104593,
train_dr_zju_1,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.369646,
train_dr_zju_100,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.543190,
train_dr_zju_101,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.235363,
train_dr_zju_103,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.712256,
train_dr_zju_104,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.769332,
train_dr_zju_105,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.531330,
train_dr_zju_106,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.484156,
train_dr_zju_107,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.574464,
train_dr_zju_108,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.405592,
train_dr_zju_109,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.264131,
train_dr_zju_110,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.575100,
train_dr_zju_111,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.419277,
train_dr_zju_112,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.739549,
train_dr_zju_113,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.019874,
train_dr_zju_114,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.043746,
train_dr_zju_115,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.697282,
train_dr_zju_116,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.802630,
train_dr_zju_117,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.306666,
train_dr_zju_118,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.472001,
train_dr_zju_119,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.833894,
train_dr_zju_12,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.186757,
train_dr_zju_120,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.742873,
train_dr_zju_121,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.803181,
train_dr_zju_122,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.837569,
train_dr_zju_123,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.752957,
train_dr_zju_124,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.743129,
train_dr_zju_125,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.793484,
train_dr_zju_126,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.768064,
train_dr_zju_127,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.258080,
train_dr_zju_128,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.613368,
train_dr_zju_129,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.456764,
train_dr_zju_13,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.339161,
train_dr_zju_130,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.840150,
train_dr_zju_131,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.841775,
train_dr_zju_132,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.062761,
train_dr_zju_133,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.405067,
train_dr_zju_134,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.459339,
train_dr_zju_136,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.653555,
train_dr_zju_138,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.095084,
train_dr_zju_139,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.493702,
train_dr_zju_14,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.015833,
train_dr_zju_140,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.359324,
train_dr_zju_141,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.776753,
train_dr_zju_142,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.855641,
train_dr_zju_143,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.801503,
train_dr_zju_144,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.575659,
train_dr_zju_145,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.477593,
train_dr_zju_146,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.309426,
train_dr_zju_147,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.071887,
train_dr_zju_148,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.850528,
train_dr_zju_149,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.782855,
train_dr_zju_15,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.116227,
train_dr_zju_150,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.849180,
train_dr_zju_16,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.799082,
train_dr_zju_17,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.748172,
train_dr_zju_18,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.416174,
train_dr_zju_19,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.344499,
train_dr_zju_2,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.454227,
train_dr_zju_20,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.489636,
train_dr_zju_21,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.838253,
train_dr_zju_22,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.789180,
train_dr_zju_23,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.509135,
train_dr_zju_24,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.086640,
train_dr_zju_25,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.458169,
train_dr_zju_26,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.439766,
train_dr_zju_27,cfp,train,bad,published,0.0007,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.034252,
train_dr_zju_28,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.206991,
train_dr_zju_29,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.153837,
train_dr_zju_3,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.105701,
train_dr_zju_30,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.510014,
train_dr_zju_31,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.256791,
train_dr_zju_32,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.187796,
train_dr_zju_33,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.069295,
train_dr_zju_34,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.465505,
train_dr_zju_35,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.337342,
train_dr_zju_36,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.337932,
train_dr_zju_38,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.719145,
train_dr_zju_39,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.713513,
train_dr_zju_4,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.664080,
train_dr_zju_40,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.679165,
train_dr_zju_41,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.680676,
train_dr_zju_42,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.719936,
train_dr_zju_43,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.741735,
train_dr_zju_44,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.064915,
train_dr_zju_45,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.792722,
train_dr_zju_46,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.867788,
train_dr_zju_48,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.507842,
train_dr_zju_49,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.346064,
train_dr_zju_5,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.107899,
train_dr_zju_50,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.405794,
train_dr_zju_51,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.114763,
train_dr_zju_52,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.231721,
train_dr_zju_53,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.024509,
train_dr_zju_54,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.309181,
train_dr_zju_56,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.024421,
train_dr_zju_58,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.327629,
train_dr_zju_59,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.337501,
train_dr_zju_6,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.747302,
train_dr_zju_60,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.668547,
train_dr_zju_61,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.440086,
train_dr_zju_62,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.789579,
train_dr_zju_63,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.557065,
train_dr_zju_64,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.079816,
train_dr_zju_65,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.190083,
train_dr_zju_66,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.602028,
train_dr_zju_67,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.599286,
train_dr_zju_68,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.552896,
train_dr_zju_69,cfp,train,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,false,0.222068,
train_dr_zju_7,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.257815,
train_dr_zju_71,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.678822,
train_dr_zju_72,cfp,train,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,false,0.419560,
