key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
train_100_a,good,,graded,,true,0.695166,
train_101_a,good,,graded,,true,0.866609,
train_102_a,usable,,graded,,true,0.652974,
train_103_a,good,,graded,,true,0.707976,
train_104_a,good,,graded,,true,0.879296,
train_105_a,good,,graded,,true,0.596929,
train_106_a,usable,,graded,,true,0.023025,
train_107_a,usable,,graded,,true,0.242334,
train_108_a,usable,,graded,,true,0.154748,
train_109_a,usable,,graded,,true,0.094143,
train_10_a,good,,graded,,true,0.834485,
train_110_a,good,,graded,,true,0.121910,
train_111_a,good,,graded,,true,0.235736,
train_112_a,good,,graded,,true,0.946115,
train_113_a,good,,graded,,true,0.791344,
train_114_a,good,,graded,,true,0.927146,
train_115_a,good,,graded,,true,0.945983,
train_116_a,good,,graded,,true,0.941946,
train_117_a,good,,graded,,true,0.380382,
train_118_a,good,,graded,,true,0.497923,
train_119_a,good,,graded,,true,0.859005,
train_11_a,good,,graded,,true,0.962667,
train_120_a,good,,graded,,true,0.297373,
train_121_a,good,,graded,,true,0.851668,
train_122_a,good,,graded,,true,0.624776,
train_123_a,good,,graded,,true,0.589222,
train_124_a,good,,graded,,true,0.425765,
train_125_a,good,,graded,,true,0.724612,
train_126_a,good,,graded,,true,0.715448,
train_127_a,good,,graded,,true,0.451372,
train_128_a,good,,graded,,true,0.263382,
train_129_a,good,,graded,,true,0.559338,
train_12_a,good,,graded,,true,0.758255,
train_130_a,good,,graded,,true,0.329434,
train_131_a,usable,,graded,,true,0.449540,
train_132_a,good,,graded,,true,0.568838,
train_133_a,good,,graded,,true,0.914573,
train_134_a,good,,graded,,true,0.628908,
train_135_a,good,,graded,,true,0.890937,
train_136_a,good,,graded,,true,0.948964,
train_137_a,good,,graded,,true,0.859131,
train_138_a,usable,,graded,,true,0.052835,
train_139_a,good,,graded,,true,0.048995,
train_13_a,good,,graded,,true,0.774445,
train_140_a,good,,graded,,true,0.495624,
train_141_a,good,,graded,,true,0.883156,
train_142_a,good,,graded,,true,0.661419,
train_143_a,bad,,graded,,true,0.077045,
train_144_a,good,,graded,,true,0.237364,
train_145_a,good,,graded,,true,0.585989,
train_146_a,good,,graded,,true,0.438661,
train_147_a,good,,graded,,true,0.871165,
train_148_a,good,,graded,,true,0.504234,
train_149_a,good,,graded,,true,0.192998,
train_14_a,good,,graded,,true,0.591526,
train_150_a,good,,graded,,true,0.950644,
train_151_d,usable,,graded,,true,0.188063,
train_152_d,good,,graded,,true,0.949104,
train_153_d,good,,graded,,true,0.961318,
train_154_d,good,,graded,,true,0.640035,
train_155_d,bad,,graded,,true,0.025855,
train_156_d,good,,graded,,true,0.541456,
train_157_d,good,,graded,,true,0.433250,
train_158_d,good,,graded,,true,0.109534,
train_159_d,good,,graded,,true,0.545684,
train_15_a,good,,graded,,true,0.914540,
train_160_d,good,,graded,,true,0.446116,
train_161_d,good,,graded,,true,0.799929,
train_162_d,good,,graded,,true,0.679619,
train_163_d,bad,,graded,,true,0.006943,
train_164_d,good,,graded,,true,0.865854,
train_165_d,usable,,graded,,true,0.247132,
train_166_d,bad,,graded,,true,0.031135,
train_167_d,good,,graded,,true,0.119285,
train_168_d,usable,,graded,,true,0.047128,
train_169_d,usable,,graded,,true,0.334271,
train_16_a,good,,graded,,true,0.895170,
train_170_d,good,,graded,,true,0.602829,
train_171_d,good,,graded,,true,0.745182,
train_172_d,good,,graded,,true,0.841513,
train_173_d,bad,,graded,,true,0.115734,
train_174_d,good,,graded,,true,0.465473,
train_175_d,usable,,graded,,true,0.152194,
train_176_d,good,,graded,,true,0.825055,
train_177_d,good,,graded,,true,0.867310,
train_178_d,good,,graded,,true,0.756952,
train_179_d,good,,graded,,true,0.582571,
train_17_a,good,,graded,,true,0.924665,
train_180_d,good,,graded,,true,0.452944,
train_181_d,good,,graded,,true,0.252097,
train_182_d,good,,graded,,true,0.630338,
train_183_d,good,,graded,,true,0.240382,
train_184_d,good,,graded,,true,0.475971,
train_185_d,good,,graded,,true,0.874114,
train_186_d,good,,graded,,true,0.248698,
train_187_d,good,,graded,,true,0.143390,
train_188_d,good,,graded,,true,0.673158,
train_189_d,usable,,graded,,true,0.409293,
train_18_a,good,,graded,,true,0.624463,
train_190_d,good,,graded,,true,0.217206,
train_191_d,good,,graded,,true,0.906147,
train_192_d,good,,graded,,true,0.951028,
train_193_d,good,,graded,,true,0.913588,
train_194_d,good,,graded,,true,0.336058,
train_195_d,good,,graded,,true,0.549745,
train_196_d,good,,graded,,true,0.352329,
train_197_d,good,,graded,,true,0.846679,
train_198_d,good,,graded,,true,0.284681,
train_199_d,usable,,graded,,true,0.082136,
train_19_a,good,,graded,,true,0.923330,
train_1_a,good,,graded,,true,0.907980,
train_200_d,good,,graded,,true,0.814828,
train_201_d,bad,,graded,,true,0.089516,
train_202_d,good,,graded,,true,0.308598,
train_203_d,good,,graded,,true,0.876018,
train_204_d,good,,graded,,true,0.578338,
train_205_d,good,,graded,,true,0.803252,
train_206_d,good,,graded,,true,0.304974,
train_207_d,good,,graded,,true,0.661552,
train_208_d,good,,graded,,true,0.285909,
train_209_d,good,,graded,,true,0.231707,
train_20_a,good,,graded,,true,0.963254,
train_210_d,usable,,graded,,true,0.058545,
train_211_d,good,,graded,,true,0.167390,
train_212_d,good,,graded,,true,0.865754,
train_213_d,good,,graded,,true,0.917425,
train_214_d,good,,graded,,true,0.478112,
train_215_d,bad,,graded,,true,0.314527,
train_216_d,good,,graded,,true,0.798832,
train_217_d,good,,graded,,true,0.640644,
train_218_d,good,,graded,,true,0.723745,
train_219_d,usable,,graded,,true,0.332207,
train_21_a,good,,graded,,true,0.780118,
train_220_d,good,,graded,,true,0.746468,
train_221_d,good,,graded,,true,0.256432,
train_222_d,bad,,graded,,true,0.009233,
train_223_d,usable,,graded,,true,0.136088,
train_224_d,good,,graded,,true,0.415319,
train_225_d,good,,graded,,true,0.360994,
train_226_d,good,,graded,,true,0.659705,
train_227_d,good,,graded,,true,0.859148,
train_228_d,good,,graded,,true,0.589141,
train_229_d,good,,graded,,true,0.951294,
train_22_a,good,,graded,,true,0.775594,
train_230_d,good,,graded,,true,0.286082,
train_231_d,bad,,graded,,true,0.030188,
train_232_d,good,,graded,,true,0.291575,
train_233_d,good,,graded,,true,0.580823,
train_234_d,good,,graded,,true,0.330668,
train_235_d,good,,graded,,true,0.240473,
train_236_d,good,,graded,,true,0.845464,
train_237_d,bad,,graded,,true,0.024539,
train_238_d,good,,graded,,true,0.228337,
train_239_d,good,,graded,,true,0.319240,
train_23_a,good,,graded,,true,0.905540,
train_240_d,good,,graded,,true,0.413533,
train_241_d,good,,graded,,true,0.034182,
train_242_d,usable,,graded,,true,0.272733,
train_243_d,good,,graded,,true,0.676726,
train_244_d,good,,graded,,true,0.868799,
train_245_d,good,,graded,,true,0.259860,
train_246_d,good,,graded,,true,0.526500,
train_247_d,usable,,graded,,true,0.134800,
train_248_d,good,,graded,,true,0.693327,
train_249_d,good,,graded,,true,0.143568,
train_24_a,good,,graded,,true,0.916418,
train_250_d,usable,,graded,,true,0.115059,
train_251_d,good,,graded,,true,0.354262,
train_252_d,usable,,graded,,true,0.036133,
train_253_d,good,,graded,,true,0.121123,
train_254_d,good,,graded,,true,0.881079,
train_255_d,good,,graded,,true,0.406441,
train_256_d,bad,,graded,,true,0.036592,
train_257_d,good,,graded,,true,0.843150,
train_258_d,good,,graded,,true,0.087656,
train_259_d,good,,graded,,true,0.248523,
train_25_a,good,,graded,,true,0.986119,
train_260_d,usable,,graded,,true,0.285336,
train_261_d,good,,graded,,true,0.564263,
train_262_d,good,,graded,,true,0.851228,
train_263_d,good,,graded,,true,0.913030,
train_264_d,good,,graded,,true,0.896960,
train_265_d,good,,graded,,true,0.572070,
train_266_d,usable,,graded,,true,0.160411,
train_267_d,usable,,graded,,true,0.237405,
train_268_d,usable,,graded,,true,0.491900,
train_269_d,usable,,graded,,true,0.102490,
train_26_a,good,,graded,,true,0.911536,
train_270_d,usable,,graded,,true,0.007592,
train_271_d,good,,graded,,true,0.709655,
train_272_d,good,,graded,,true,0.371807,
train_273_d,good,,graded,,true,0.781000,
train_274_d,good,,graded,,true,0.787680,
train_275_d,good,,graded,,true,0.454816,
train_276_d,good,,graded,,true,0.891446,
train_277_d,bad,,graded,,true,0.033109,
train_278_d,usable,,graded,,true,0.029674,
train_279_d,good,,graded,,true,0.765595,
train_27_a,good,,graded,,true,0.196166,
train_280_d,bad,,graded,,true,0.063863,
train_281_d,bad,,graded,,true,0.287840,
train_282_d,good,,graded,,true,0.465436,
train_283_d,usable,,graded,,true,0.081385,
train_284_d,bad,,graded,,true,0.012552,
train_285_d,usable,,graded,,true,0.177378,
train_286_d,good,,graded,,true,0.633358,
train_287_d,usable,,graded,,true,0.022724,
train_288_d,good,,graded,,true,0.719418,
train_289_d,good,,graded,,true,0.314514,
train_28_a,good,,graded,,true,0.918778,
train_290_d,good,,graded,,true,0.335593,
train_291_d,good,,graded,,true,0.875070,
train_292_d,good,,graded,,true,0.847108,
train_293_d,good,,graded,,true,0.767291,
train_294_d,usable,,graded,,true,0.289564,
train_295_d,good,,graded,,true,0.846114,
train_296_d,good,,graded,,true,0.419459,
train_297_d,usable,,graded,,true,0.021276,
train_298_d,usable,,graded,,true,0.271731,
train_299_d,usable,,graded,,true,0.040718,
train_29_a,bad,,graded,,true,0.156025,
train_2_a,good,,graded,,true,0.886938,
train_300_d,good,,graded,,true,0.209278,
train_301_g,bad,,graded,,true,0.095567,
train_302_g,usable,,graded,,true,0.266875,
train_303_g,usable,,graded,,true,0.383412,
train_304_g,good,,graded,,true,0.741030,
train_305_g,good,,graded,,true,0.939230,
train_306_g,good,,graded,,true,0.345100,
train_307_g,usable,,graded,,true,0.379203,
train_308_g,good,,graded,,true,0.584673,
train_309_g,usable,,graded,,true,0.437087,
train_30_a,good,,graded,,true,0.892576,
train_310_g,good,,graded,,true,0.243437,
train_311_g,good,,graded,,true,0.861516,
train_312_g,good,,graded,,true,0.825575,
train_313_g,good,,graded,,true,0.865152,
train_314_g,good,,graded,,true,0.736913,
train_315_g,good,,graded,,true,0.866072,
train_316_g,bad,,graded,,true,0.004350,
train_317_g,usable,,graded,,true,0.730869,
train_318_g,good,,graded,,true,0.575211,
train_319_g,bad,,graded,,true,0.030896,
train_31_a,good,,graded,,true,0.914871,
train_320_g,usable,,graded,,true,0.416463,
train_321_g,bad,,graded,,true,0.068490,
train_322_g,good,,graded,,true,0.243657,
train_323_g,bad,,graded,,true,0.019974,
train_324_g,bad,,graded,,true,0.055761,
train_325_g,bad,,graded,,true,0.044420,
train_326_g,bad,,graded,,true,0.009506,
train_327_g,good,,graded,,true,0.875629,
train_328_g,usable,,graded,,true,0.571712,
train_329_g,good,,graded,,true,0.716735,
train_32_a,good,,graded,,true,0.942862,
train_330_g,usable,,graded,,true,0.116931,
train_331_g,bad,,graded,,true,0.005777,
train_332_g,usable,,graded,,true,0.213039,
train_333_g,good,,graded,,true,0.455221,
train_334_g,bad,,graded,,true,0.044468,
train_335_g,usable,,graded,,true,0.128968,
train_336_g,usable,,graded,,true,0.536737,
train_337_g,usable,,graded,,true,0.390815,
train_338_g,usable,,graded,,true,0.319067,
train_339_g,good,,graded,,true,0.922531,
train_33_a,good,,graded,,true,0.963764,
train_340_g,good,,graded,,true,0.935674,
train_341_g,bad,,graded,,true,0.006984,
train_342_g,good,,graded,,true,0.846317,
train_343_g,good,,graded,,true,0.695172,
train_344_g,good,,graded,,true,0.943701,
train_345_g,good,,graded,,true,0.984078,
train_346_g,good,,graded,,true,0.865586,
train_347_g,good,,graded,,true,0.944452,
