key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
test_100_d,main,test,good,derived,0.0000,,graded,,true,0.327275,
test_101_g,main,test,bad,derived,0.0000,,graded,,true,0.277062,
test_102_g,main,test,bad,derived,0.0000,,graded,,true,0.160536,
test_103_g,main,test,usable,derived,0.0000,,graded,,true,0.107824,
test_104_g,main,test,usable,derived,0.0000,,graded,,true,0.504616,
test_105_g,main,test,good,derived,0.0000,,graded,,true,0.828317,
test_106_g,main,test,good,derived,0.0000,,graded,,true,0.842762,
test_107_g,main,test,good,derived,0.0000,,graded,,true,0.916370,
test_108_g,main,test,bad,derived,0.0000,,graded,,true,0.126545,
test_109_g,main,test,good,derived,0.0000,,graded,,true,0.879864,
test_10_a,main,test,usable,derived,0.0000,,graded,,true,0.206136,
test_110_g,main,test,good,derived,0.0000,,graded,,true,0.697843,
test_111_g,main,test,usable,derived,0.0000,,graded,,true,0.307341,
test_112_g,main,test,usable,derived,0.0000,,graded,,true,0.173344,
test_113_g,main,test,bad,derived,0.0000,,graded,,true,0.019327,
test_114_g,main,test,bad,derived,0.0000,,graded,,true,0.054562,
test_115_g,main,test,good,derived,0.0000,,graded,,true,0.881622,
test_116_g,main,test,usable,derived,0.0000,,graded,,true,0.063998,
test_117_g,main,test,good,derived,0.0000,,graded,,true,0.619742,
test_118_g,main,test,good,derived,0.0000,,graded,,true,0.923798,
test_119_g,main,test,bad,derived,0.0000,,graded,,true,0.185164,
test_11_a,main,test,good,derived,0.0000,,graded,,true,0.255426,
test_120_g,main,test,usable,derived,0.0000,,graded,,true,0.586314,
test_121_g,main,test,bad,derived,0.0000,,graded,,true,0.008645,
test_122_g,main,test,bad,derived,0.0000,,graded,,true,0.004570,
test_123_g,main,test,bad,derived,0.0000,,graded,,true,0.003140,
test_124_g,main,test,usable,derived,0.0000,,graded,,true,0.099224,
test_125_g,main,test,good,derived,0.0000,,graded,,true,0.632434,
test_126_g,main,test,good,derived,0.0000,,graded,,true,0.657628,
test_127_g,main,test,good,derived,0.0000,,graded,,true,0.563681,
test_128_g,main,test,usable,derived,0.0000,,graded,,true,0.493484,
test_129_g,main,test,usable,derived,0.0000,,graded,,true,0.423289,
test_12_a,main,test,good,derived,0.0000,,graded,,true,0.671160,
test_130_g,main,test,good,derived,0.0000,,graded,,true,0.805608,
test_131_g,main,test,good,derived,0.0000,,graded,,true,0.968047,
test_132_g,main,test,good,derived,0.0000,,graded,,true,0.570609,
test_133_g,main,test,bad,derived,0.0000,,graded,,true,0.010357,
test_134_g,main,test,usable,derived,0.0000,,graded,,true,0.704643,
test_135_g,main,test,usable,derived,0.0000,,graded,,true,0.052552,
test_136_g,main,test,bad,derived,0.0000,,graded,,true,0.012674,
test_137_g,main,test,bad,derived,0.0000,,graded,,true,0.037647,
test_138_g,main,test,bad,derived,0.0000,,graded,,true,0.009230,
test_139_g,main,test,good,derived,0.0000,,graded,,true,0.935026,
test_13_a,main,test,good,derived,0.0000,,graded,,true,0.859944,
test_140_g,main,test,good,derived,0.0000,,graded,,true,0.569678,
test_141_g,main,test,good,derived,0.0000,,graded,,true,0.761429,
test_142_g,main,test,good,derived,0.0000,,graded,,true,0.944036,
test_143_g,main,test,good,derived,0.0000,,graded,,true,0.962095,
test_144_g,main,test,bad,derived,0.0000,,graded,,true,0.105085,
test_145_g,main,test,bad,derived,0.0000,,graded,,true,0.045301,
test_146_g,main,test,good,derived,0.0000,,graded,,true,0.927155,
test_147_g,main,test,good,derived,0.0000,,graded,,true,0.455457,
test_148_g,main,test,bad,derived,0.0000,,graded,,true,0.092510,
test_149_g,main,test,usable,derived,0.0000,,graded,,true,0.047004,
test_14_a,main,test,good,derived,0.0000,,graded,,true,0.803987,
test_150_g,main,test,good,derived,0.0000,,graded,,true,0.819146,
test_151_n,main,test,good,derived,0.0000,,graded,,true,0.318511,
test_152_n,main,test,usable,derived,0.0000,,graded,,true,0.408993,
test_153_n,main,test,bad,derived,0.0000,,graded,,true,0.060218,
test_154_n,main,test,bad,derived,0.0000,,graded,,true,0.117822,
test_155_n,main,test,bad,derived,0.0000,,graded,,true,0.137431,
test_156_n,main,test,usable,derived,0.0000,,graded,,true,0.275345,
test_157_n,main,test,usable,derived,0.0000,,graded,,true,0.403406,
test_158_n,main,test,good,derived,0.0000,,graded,,true,0.165498,
test_159_n,main,test,good,derived,0.0000,,graded,,true,0.843335,
test_15_a,main,test,good,derived,0.0000,,graded,,true,0.695638,
test_160_n,main,test,usable,derived,0.0000,,graded,,true,0.900099,
test_161_n,main,test,good,derived,0.0000,,graded,,true,0.713505,
test_162_n,main,test,good,derived,0.0000,,graded,,true,0.727315,
test_163_n,main,test,usable,derived,0.0000,,graded,,true,0.239657,
test_164_n,main,test,usable,derived,0.0000,,graded,,true,0.388082,
test_165_n,main,test,usable,derived,0.0000,,graded,,true,0.565901,
test_166_n,main,test,good,derived,0.0000,,graded,,true,0.616831,
test_167_n,main,test,good,derived,0.0000,,graded,,true,0.284591,
test_168_n,main,test,usable,derived,0.0000,,graded,,true,0.191031,
test_169_n,main,test,usable,derived,0.0000,,graded,,true,0.569631,
test_16_a,main,test,good,derived,0.0000,,graded,,true,0.592305,
test_170_n,main,test,usable,derived,0.0000,,graded,,true,0.576930,
test_171_n,main,test,good,derived,0.0000,,graded,,true,0.982708,
test_172_n,main,test,good,derived,0.0000,,graded,,true,0.936207,
test_173_n,main,test,good,derived,0.0000,,graded,,true,0.683365,
test_174_n,main,test,good,derived,0.0000,,graded,,true,0.719941,
test_175_n,main,test,good,derived,0.0000,,graded,,true,0.666870,
test_176_n,main,test,good,derived,0.0000,,graded,,true,0.587705,
test_177_n,main,test,good,derived,0.0000,,graded,,true,0.628001,
test_178_n,main,test,good,derived,0.0000,,graded,,true,0.610367,
test_179_n,main,test,good,derived,0.0000,,graded,,true,0.974720,
