key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
train_dr_xju_134,good,annotator1=bad;annotator2=good;annotator3=good;consensus=good,graded,,true,0.493060,
train_dr_xju_86,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.110107,
train_dr_xju_87,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.150004,
train_dr_xju_88,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.071194,
train_dr_xju_89,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.163082,
train_dr_zju_1,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.323642,
train_dr_zju_100,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.696734,
train_dr_zju_101,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.332312,
train_dr_zju_103,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.825524,
train_dr_zju_104,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.901812,
train_dr_zju_105,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.500909,
train_dr_zju_106,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.376560,
train_dr_zju_107,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.563805,
train_dr_zju_108,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.728812,
train_dr_zju_109,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.255087,
train_dr_zju_110,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.558943,
train_dr_zju_111,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.352034,
train_dr_zju_112,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.812557,
train_dr_zju_113,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.014936,
train_dr_zju_114,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.042671,
train_dr_zju_115,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.494996,
train_dr_zju_116,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.526830,
train_dr_zju_117,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.056404,
train_dr_zju_118,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.054532,
train_dr_zju_119,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.893314,
train_dr_zju_12,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.114658,
train_dr_zju_120,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.532538,
train_dr_zju_121,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.853220,
train_dr_zju_122,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.821571,
train_dr_zju_123,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.849074,
train_dr_zju_124,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.815473,
train_dr_zju_125,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.848395,
train_dr_zju_126,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.879750,
train_dr_zju_127,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.130222,
train_dr_zju_128,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.645025,
train_dr_zju_129,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.419404,
train_dr_zju_13,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.214012,
train_dr_zju_130,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.832893,
train_dr_zju_131,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.772833,
train_dr_zju_132,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.004201,
train_dr_zju_133,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.187632,
train_dr_zju_134,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.434051,
train_dr_zju_136,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.342036,
train_dr_zju_138,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.011958,
train_dr_zju_139,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.732091,
train_dr_zju_14,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.020902,
train_dr_zju_140,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.454889,
train_dr_zju_141,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.685904,
train_dr_zju_142,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.790881,
train_dr_zju_143,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.942307,
train_dr_zju_144,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.826251,
train_dr_zju_145,good,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.318205,
