key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
train_local1_1,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.942624,
train_local1_10,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.948576,
train_local1_100,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.013609,
train_local1_101,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.007968,
train_local1_102,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.006447,
train_local1_103,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.118033,
train_local1_104,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.009330,
train_local1_105,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.113255,
train_local1_106,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.099198,
train_local1_107,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.003294,
train_local1_108,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.058079,
train_local1_109,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.002396,
train_local1_11,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,,true,0.798757,
train_local1_110,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.020562,
train_local1_111,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.002849,
train_local1_112,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.009829,
train_local1_113,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.035300,
train_local1_114,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.026511,
train_local1_115,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.022295,
train_local1_116,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.566546,
train_local1_117,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.701774,
train_local1_118,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.003438,
train_local1_119,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.000914,
train_local1_12,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.933598,
train_local1_120,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.018291,
train_local1_121,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.225617,
train_local1_122,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.095651,
train_local1_123,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.126470,
train_local1_124,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.145315,
train_local1_125,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.060963,
train_local1_126,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.008230,
train_local1_127,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.004755,
train_local1_128,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.004267,
train_local1_129,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.780767,
train_local1_13,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.959363,
train_local1_130,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.668261,
train_local1_131,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.018034,
train_local1_132,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.057456,
train_local1_133,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.131886,
train_local1_134,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.001570,
train_local1_135,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.024101,
train_local1_136,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.003262,
train_local1_137,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.021863,
train_local1_138,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.004239,
train_local1_139,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.007159,
train_local1_14,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.902799,
train_local1_140,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.077784,
train_local1_141,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.108958,
train_local1_142,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.063068,
train_local1_143,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.107373,
train_local1_144,bad,annotator1=bad;annotator2=good;annotator3=bad;consensus=bad,graded,,true,0.070492,
train_local1_145,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.151313,
train_local1_146,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.014121,
train_local1_147,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.022899,
train_local1_148,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.190141,
train_local1_149,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.001145,
train_local1_15,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.747500,
train_local1_150,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.002741,
train_local1_151,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.000849,
train_local1_152,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.001286,
train_local1_153,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.004713,
train_local1_154,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.008168,
train_local1_155,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.001043,
train_local1_156,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.002929,
train_local1_157,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.001563,
train_local1_158,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.002648,
train_local1_159,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.021549,
train_local1_16,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.176982,
train_local1_17,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.883924,
train_local1_18,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.873341,
train_local1_19,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.828694,
train_local1_2,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.862129,
train_local1_20,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.791536,
train_local1_21,good,annotator1=good;annotator2=bad;annotator3=bad;consensus=good,graded,,true,0.233748,
train_local1_22,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.452996,
train_local1_23,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.823483,
train_local1_24,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.892252,
train_local1_25,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.847504,
train_local1_26,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.943943,
train_local1_27,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.900445,
train_local1_28,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.291355,
train_local1_29,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.945630,
train_local1_3,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.779477,
train_local1_30,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.768443,
train_local1_31,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.944707,
train_local1_32,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,,true,0.758155,
train_local1_33,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.781875,
train_local1_34,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,,true,0.783690,
train_local1_35,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.771326,
train_local1_36,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.332199,
train_local1_37,good,annotator1=good;annotator2=bad;annotator3=bad;consensus=good,graded,,true,0.113741,
train_local1_38,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.739228,
train_local1_39,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.803375,
train_local1_4,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.476036,
train_local1_40,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.918999,
train_local1_41,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.886151,
train_local1_42,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.252148,
train_local1_43,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.938387,
train_local1_44,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,,true,0.690845,
train_local1_45,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.923883,
train_local1_46,bad,annotator1=bad;annotator2=bad;annotator3=good;consensus=bad,graded,,true,0.668261,
train_local1_47,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.127459,
train_local1_48,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.031504,
train_local1_49,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.007173,
train_local1_5,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.715501,
train_local1_50,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.196392,
train_local1_51,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.133395,
train_local1_52,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.025616,
train_local1_53,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.416221,
train_local1_54,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.107547,
train_local1_55,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.105903,
train_local1_56,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.006145,
train_local1_57,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.005697,
train_local1_58,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.018226,
train_local1_59,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.009853,
train_local1_6,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.878481,
train_local1_60,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.017540,
train_local1_61,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.031814,
train_local1_62,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.017792,
train_local1_63,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.001038,
train_local1_64,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.019746,
train_local1_65,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.224286,
train_local1_66,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.057296,
train_local1_67,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.087243,
train_local1_68,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.130885,
train_local1_69,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.134601,
train_local1_7,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,,true,0.271712,
train_local1_70,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.028073,
train_local1_71,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.019391,
train_local1_72,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.125756,
train_local1_73,good,annotator1=bad;annotator2=good;annotator3=bad;consensus=good,graded,,true,0.780767,
train_local1_74,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.005251,
train_local1_75,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.006517,
train_local1_76,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.003012,
train_local1_77,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.003740,
train_local1_78,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.018619,
train_local1_79,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.004069,
train_local1_8,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.833564,
train_local1_80,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.001417,
train_local1_81,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.000987,
train_local1_82,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.088889,
train_local1_83,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.002176,
train_local1_84,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.574095,
train_local1_85,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.062037,
train_local1_86,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.213040,
train_local1_87,bad,annotator1=bad;annotator2=bad;annotator3=good;consensus=bad,graded,,true,0.758949,
train_local1_88,bad,annotator1=bad;annotator2=bad;annotator3=good;consensus=bad,graded,,true,0.593404,
train_local1_89,bad,annotator1=bad;annotator2=bad;annotator3=good;consensus=bad,graded,,true,0.825228,
train_local1_9,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.703223,
train_local1_90,bad,annotator1=bad;annotator2=bad;annotator3=good;consensus=bad,graded,,true,0.601564,
train_local1_91,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.065676,
train_local1_92,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.096665,
train_local1_93,bad,annotator1=bad;annotator2=bad;annotator3=good;consensus=bad,graded,,true,0.487549,
train_local1_94,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.121185,
train_local1_95,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.365406,
train_local1_96,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.273639,
train_local1_97,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.419229,
train_local1_98,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.058992,
train_local1_99,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.025666,
train_local2_1,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,true,0.945126,
