key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
test_dr_xju_223,cfp,test,bad,published,0.2139,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.007794,
test_dr_zju_151,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.866323,
test_dr_zju_152,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.152747,
test_dr_zju_153,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.032477,
test_dr_zju_156,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.514073,
test_dr_zju_158,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.397006,
test_dr_zju_159,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.145769,
test_dr_zju_160,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.111416,
test_dr_zju_161,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.693035,
test_dr_zju_162,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.106289,
test_dr_zju_163,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.836186,
test_dr_zju_164,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.548650,
test_dr_zju_165,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.753281,
test_dr_zju_167,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.196741,
test_dr_zju_168,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.649994,
test_dr_zju_169,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.614862,
test_dr_zju_170,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.159082,
test_dr_zju_171,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.856259,
test_dr_zju_172,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.883230,
test_dr_zju_173,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.375081,
test_dr_zju_174,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.849392,
test_dr_zju_175,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.055082,
test_dr_zju_176,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.683800,
test_dr_zju_177,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.745807,
test_dr_zju_179,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.043112,
test_dr_zju_180,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.688666,
test_dr_zju_181,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.769269,
test_dr_zju_182,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.038266,
test_dr_zju_183,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,,true,0.120035,
test_dr_zju_184,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.002234,
test_dr_zju_185,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.010041,
test_dr_zju_186,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.004998,
test_dr_zju_187,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,,true,0.001251,
test_glaucoma_42,cfp,test,bad,published,0.0039,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.009437,
test_glaucoma_43,cfp,test,bad,published,0.0039,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.002166,
test_glaucoma_44,cfp,test,bad,published,0.0065,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.029035,
test_glaucoma_45,cfp,test,bad,published,0.0039,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,true,0.003008,
