key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,note
ret002_od,good,,graded,,true,0.671426,
ret002_os,good,,graded,,true,0.842693,
ret004_od,good,,graded,,true,0.538736,
ret004_os,good,,graded,,true,0.780546,
ret005_od,good,,graded,,true,0.740843,
ret005_os,good,,graded,,true,0.851161,
ret006_od,good,,graded,,true,0.188487,
ret006_os,good,,graded,,true,0.138714,
ret007_od,good,,graded,,true,0.932691,
ret007_os,good,,graded,,true,0.914859,
ret008_od,good,,graded,,true,0.284698,
ret008_os,good,,graded,,true,0.414796,
ret009_od,good,,graded,,true,0.011489,
ret009_os,good,,graded,,true,0.015068,
ret010_od,good,,graded,,true,0.008495,
ret010_os,good,,graded,,true,0.010776,
ret013_od,good,,graded,,true,0.112927,
ret013_os,good,,graded,,true,0.060531,
ret014_od,good,,graded,,true,0.752582,
ret014_os,good,,graded,,true,0.848615,
ret015_od,good,,graded,,true,0.915802,
ret015_os,good,,graded,,true,0.713192,
ret016_od,good,,graded,,true,0.103412,
ret016_os,good,,graded,,true,0.273091,
ret018_od,good,,graded,,true,0.635323,
ret018_os,good,,graded,,true,0.858293,
ret019_od,good,,graded,,true,0.478558,
ret019_os,good,,graded,,true,0.183188,
ret020_od,good,,graded,,true,0.064686,
ret020_os,good,,graded,,true,0.022000,
ret021_od,good,,graded,,true,0.639004,
ret021_os,good,,graded,,true,0.791511,
ret023_od,good,,graded,,true,0.482313,
ret023_os,good,,graded,,true,0.282570,
ret024_od,good,,graded,,true,0.354185,
ret024_os,good,,graded,,true,0.201985,
ret025_od,good,,graded,,true,0.460836,
ret025_os,good,,graded,,true,0.159047,
ret026_od,good,,graded,,true,0.528751,
ret026_os,good,,graded,,true,0.302692,
ret027_od,good,,graded,,true,0.734374,
ret027_os,good,,graded,,true,0.855454,
ret028_od,good,,graded,,true,0.680058,
ret028_os,good,,graded,,true,0.325507,
ret029_od,good,,graded,,true,0.309646,
ret029_os,good,,graded,,true,0.278361,
ret030_od,good,,graded,,true,0.895639,
ret030_os,good,,graded,,true,0.908157,
ret031_od,good,,graded,,true,0.346454,
ret031_os,good,,graded,,true,0.740861,
ret032_od,good,,graded,,true,0.364314,
ret032_os,good,,graded,,true,0.280565,
ret033_od,good,,graded,,true,0.249266,
ret033_os,good,,graded,,true,0.158455,
ret034_od,good,,graded,,true,0.780024,
ret034_os,good,,graded,,true,0.548774,
ret035_od,good,,graded,,true,0.840019,
ret035_os,good,,graded,,true,0.845136,
ret036_od,good,,graded,,true,0.851918,
ret036_os,good,,graded,,true,0.900345,
ret037_od,good,,graded,,true,0.827579,
ret037_os,good,,graded,,true,0.934449,
ret038_od,good,,graded,,true,0.792676,
ret038_os,good,,graded,,true,0.833440,
ret039_od,good,,graded,,true,0.013857,
ret039_os,good,,graded,,true,0.556201,
ret041_od,good,,graded,,true,0.211053,
ret041_os,good,,graded,,true,0.227588,
ret042_od,good,,graded,,true,0.167271,
ret042_os,good,,graded,,true,0.361472,
ret044_od,good,,graded,,true,0.366902,
ret044_os,good,,graded,,true,0.347583,
ret045_od,good,,graded,,true,0.406186,
ret045_os,good,,graded,,true,0.227343,
ret046_od,good,,graded,,true,0.853048,
ret046_os,good,,graded,,true,0.040248,
ret047_od,good,,graded,,true,0.280858,
ret047_os,good,,graded,,true,0.281438,
ret048_od,good,,graded,,true,0.492351,
ret048_os,good,,graded,,true,0.477042,
ret050_od,good,,graded,,true,0.577043,
ret050_os,good,,graded,,true,0.716352,
ret051_od,good,,graded,,true,0.316886,
ret051_os,good,,graded,,true,0.676294,
ret053_od,good,,graded,,true,0.011881,
ret053_os,good,,graded,,true,0.078108,
ret055_od,good,,graded,,true,0.036145,
ret055_os,good,,graded,,true,0.324014,
ret056_od,good,,graded,,true,0.514396,
ret056_os,good,,graded,,true,0.218922,
ret057_od,good,,graded,,true,0.857334,
ret057_os,good,,graded,,true,0.810279,
ret062_od,good,,graded,,true,0.578342,
ret062_os,good,,graded,,true,0.308562,
ret064_od,good,,graded,,true,0.661440,
ret064_os,good,,graded,,true,0.634554,
ret065_od,good,,graded,,true,0.025449,
ret065_os,good,,graded,,true,0.269122,
ret066_od,good,,graded,,true,0.057490,
ret066_os,good,,graded,,true,0.048161,
ret067_od,good,,graded,,true,0.783595,
ret067_os,good,,graded,,true,0.844655,
ret068_od,good,,graded,,true,0.087768,
ret068_os,good,,graded,,true,0.027647,
ret069_od,good,,graded,,true,0.441812,
ret069_os,good,,graded,,true,0.702916,
ret072_od,good,,graded,,true,0.888039,
ret072_os,good,,graded,,true,0.865433,
ret073_od,good,,graded,,true,0.213947,
ret073_os,good,,graded,,true,0.115520,
ret074_od,good,,graded,,true,0.526648,
ret074_os,good,,graded,,true,0.596292,
ret077_od,good,,graded,,true,0.120548,
ret077_os,good,,graded,,true,0.669297,
ret079_od,good,,graded,,true,0.422107,
ret079_os,good,,graded,,true,0.006286,
ret081_od,good,,graded,,true,0.665238,
ret081_os,good,,graded,,true,0.581851,
ret084_od,good,,graded,,true,0.021257,
ret084_os,good,,graded,,true,0.181230,
ret087_od,good,,graded,,true,0.135114,
ret087_os,good,,graded,,true,0.017796,
ret088_od,good,,graded,,true,0.146592,
ret088_os,good,,graded,,true,0.325432,
ret089_od,good,,graded,,true,0.473118,
ret089_os,good,,graded,,true,0.581544,
ret090_od,good,,graded,,true,0.197476,
ret090_os,good,,graded,,true,0.363227,
ret091_od,good,,graded,,true,0.163696,
ret091_os,good,,graded,,true,0.110633,
ret092_od,good,,graded,,true,0.096752,
ret092_os,good,,graded,,true,0.369186,
ret093_od,good,,graded,,true,0.006686,
ret093_os,good,,graded,,true,0.051793,
ret096_od,good,,graded,,true,0.101036,
ret096_os,good,,graded,,true,0.132408,
ret098_od,good,,graded,,true,0.183097,
ret098_os,good,,graded,,true,0.134889,
ret101_od,good,,graded,,true,0.393883,
ret101_os,good,,graded,,true,0.708187,
ret102_od,good,,graded,,true,0.543184,
ret102_os,good,,graded,,true,0.246517,
ret104_od,good,,graded,,true,0.202678,
ret104_os,good,,graded,,true,0.692710,
ret105_od,good,,graded,,true,0.274903,
ret105_os,good,,graded,,true,0.122290,
ret106_od,good,,graded,,true,0.254460,
ret106_os,good,,graded,,true,0.244074,
ret107_od,good,,graded,,true,0.666400,
ret107_os,good,,graded,,true,0.017708,
ret108_od,good,,graded,,true,0.178388,
ret108_os,good,,graded,,true,0.529411,
ret112_od,good,,graded,,true,0.623089,
ret112_os,good,,graded,,true,0.762335,
ret113_od,good,,graded,,true,0.756131,
ret113_os,good,,graded,,true,0.427652,
ret114_od,good,,graded,,true,0.018889,
ret114_os,good,,graded,,true,0.178678,
ret116_od,good,,graded,,true,0.272960,
ret116_os,good,,graded,,true,0.110829,
ret119_od,good,,graded,,true,0.154366,
ret119_os,good,,graded,,true,0.172944,
ret120_od,good,,graded,,true,0.610961,
ret120_os,good,,graded,,true,0.559233,
ret121_od,good,,graded,,true,0.277982,
ret121_os,good,,graded,,true,0.056856,
ret122_od,good,,graded,,true,0.589631,
ret122_os,good,,graded,,true,0.480370,
ret123_od,good,,graded,,true,0.064348,
ret123_os,good,,graded,,true,0.033344,
ret124_od,good,,graded,,true,0.018396,
ret124_os,good,,graded,,true,0.007089,
ret125_od,good,,graded,,true,0.014943,
ret125_os,good,,graded,,true,0.920645,
ret126_od,good,,graded,,true,0.886329,
ret126_os,good,,graded,,true,0.907162,
ret127_od,good,,graded,,true,0.760996,
ret127_os,good,,graded,,true,0.795506,
ret128_od,good,,graded,,true,0.208895,
ret128_os,good,,graded,,true,0.132292,
ret129_od,good,,graded,,true,0.875190,
ret129_os,good,,graded,,true,0.873006,
ret130_od,good,,graded,,true,0.901758,
ret130_os,good,,graded,,true,0.841397,
ret131_od,good,,graded,,true,0.353826,
ret131_os,good,,graded,,true,0.517989,
ret132_od,good,,graded,,true,0.762556,
ret132_os,good,,graded,,true,0.879780,
ret133_od,good,,graded,,true,0.282546,
ret133_os,good,,graded,,true,0.125818,
ret134_od,good,,graded,,true,0.390793,
ret134_os,good,,graded,,true,0.774026,
ret135_od,good,,graded,,true,0.123237,
ret135_os,good,,graded,,true,0.247840,
ret136_od,good,,graded,,true,0.336216,
ret136_os,good,,graded,,true,0.192893,
ret137_od,good,,graded,,true,0.010139,
ret137_os,good,,graded,,true,0.010734,
ret138_od,good,,graded,,true,0.834761,
ret138_os,good,,graded,,true,0.790318,
ret139_od,good,,graded,,true,0.501788,
ret139_os,good,,graded,,true,0.159375,
ret140_od,good,,graded,,true,0.540108,
ret140_os,good,,graded,,true,0.507652,
ret141_od,good,,graded,,true,0.006280,
ret141_os,good,,graded,,true,0.008067,
ret142_od,good,,graded,,true,0.287034,
ret142_os,good,,graded,,true,0.728315,
ret143_od,good,,graded,,true,0.124672,
ret143_os,good,,graded,,true,0.495333,
ret144_od,good,,graded,,true,0.112933,
ret144_os,good,,graded,,true,0.085874,
ret146_od,good,,graded,,true,0.230518,
ret146_os,good,,graded,,true,0.084663,
ret147_od,good,,graded,,true,0.399862,
ret147_os,good,,graded,,true,0.324190,
ret149_od,good,,graded,,true,0.122526,
ret149_os,good,,graded,,true,0.596701,
ret150_od,good,,graded,,true,0.160594,
ret150_os,good,,graded,,true,0.048466,
ret151_od,good,,graded,,true,0.775476,
ret151_os,good,,graded,,true,0.547415,
ret152_od,good,,graded,,true,0.587091,
ret152_os,good,,graded,,true,0.668678,
ret153_od,good,,graded,,true,0.689835,
ret153_os,good,,graded,,true,0.691249,
ret154_od,good,,graded,,true,0.342330,
ret154_os,good,,graded,,true,0.289217,
ret155_od,good,,graded,,true,0.778982,
ret155_os,good,,graded,,true,0.607042,
ret156_od,good,,graded,,true,0.556962,
ret156_os,good,,graded,,true,0.543573,
ret157_od,good,,graded,,true,0.060070,
ret157_os,good,,graded,,true,0.090877,
ret158_od,good,,graded,,true,0.713549,
ret158_os,good,,graded,,true,0.821282,
ret159_od,good,,graded,,true,0.475996,
ret159_os,good,,graded,,true,0.654150,
ret160_od,good,,graded,,true,0.114434,
ret160_os,good,,graded,,true,0.189522,
ret162_od,good,,graded,,true,0.229070,
ret162_os,good,,graded,,true,0.076734,
ret163_od,good,,graded,,true,0.270182,
ret163_os,good,,graded,,true,0.878205,
ret164_od,good,,graded,,true,0.316869,
ret164_os,good,,graded,,true,0.834636,
ret165_od,good,,graded,,true,0.278830,
ret165_os,good,,graded,,true,0.212216,
ret166_od,good,,graded,,true,0.568202,
ret166_os,good,,graded,,true,0.611315,
ret168_od,good,,graded,,true,0.363190,
ret168_os,good,,graded,,true,0.107263,
ret169_od,good,,graded,,true,0.228263,
ret169_os,good,,graded,,true,0.718456,
ret170_od,good,,graded,,true,0.075926,
ret170_os,good,,graded,,true,0.267619,
ret171_od,good,,graded,,true,0.211160,
ret171_os,good,,graded,,true,0.058204,
ret172_od,good,,graded,,true,0.433124,
ret172_os,good,,graded,,true,0.431894,
ret174_od,good,,graded,,true,0.843816,
ret174_os,good,,graded,,true,0.800844,
ret175_od,good,,graded,,true,0.046984,
ret175_os,good,,graded,,true,0.017854,
ret176_od,good,,graded,,true,0.747406,
ret176_os,good,,graded,,true,0.904039,
ret177_od,good,,graded,,true,0.283370,
ret177_os,good,,graded,,true,0.586776,
ret178_od,good,,graded,,true,0.661992,
ret178_os,good,,graded,,true,0.480407,
ret179_od,good,,graded,,true,0.853210,
ret179_os,good,,graded,,true,0.814022,
ret180_od,good,,graded,,true,0.686299,
ret180_os,good,,graded,,true,0.772665,
ret181_od,good,,graded,,true,0.679757,
ret181_os,good,,graded,,true,0.768148,
ret182_od,good,,graded,,true,0.759294,
ret182_os,good,,graded,,true,0.802550,
ret183_od,good,,graded,,true,0.902968,
ret183_os,good,,graded,,true,0.929002,
ret184_od,good,,graded,,true,0.601512,
ret184_os,good,,graded,,true,0.144631,
ret186_od,good,,graded,,true,0.480874,
ret186_os,good,,graded,,true,0.678328,
ret187_od,good,,graded,,true,0.397129,
ret187_os,good,,graded,,true,0.484050,
ret188_od,good,,graded,,true,0.812134,
ret188_os,good,,graded,,true,0.845953,
ret189_od,good,,graded,,true,0.908645,
ret189_os,good,,graded,,true,0.944703,
