key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
train_100_a,good,,graded,good,,0.773893,0.226107,0.618593,0.155299,
train_101_a,good,,graded,good,,0.999775,0.000225,0.995678,0.004097,
train_102_a,usable,,graded,usable,,0.709403,0.290597,0.331848,0.377556,
train_103_a,good,,graded,good,,0.987300,0.012700,0.862036,0.125264,
train_104_a,good,,graded,good,,0.993554,0.006446,0.843481,0.150072,
train_105_a,good,,graded,good,,0.988333,0.011667,0.878538,0.109795,
train_106_a,usable,,graded,bad,,0.110251,0.889749,0.003436,0.106814,
train_107_a,usable,,graded,usable,,0.653943,0.346057,0.172053,0.481890,
train_108_a,usable,,graded,bad,,0.430410,0.569590,0.044437,0.385973,
train_109_a,usable,,graded,bad,,0.212114,0.787886,0.005114,0.207001,
train_10_a,good,,graded,good,,0.946715,0.053285,0.817013,0.129701,
train_110_a,good,,graded,bad,,0.258762,0.741238,0.087298,0.171464,
train_111_a,good,,graded,usable,,0.567543,0.432457,0.110158,0.457385,
train_112_a,good,,graded,good,,0.999970,0.000030,0.997409,0.002561,
train_113_a,good,,graded,good,,0.998774,0.001226,0.969058,0.029717,
train_114_a,good,,graded,good,,0.999636,0.000364,0.986467,0.013169,
train_115_a,good,,graded,good,,0.999788,0.000212,0.994126,0.005662,
train_116_a,good,,graded,good,,0.999193,0.000807,0.986455,0.012738,
train_117_a,good,,graded,usable,,0.730730,0.269270,0.313236,0.417494,
train_118_a,good,,graded,good,,0.979862,0.020138,0.911394,0.068468,
train_119_a,good,,graded,good,,0.994569,0.005431,0.974603,0.019966,
train_11_a,good,,graded,good,,0.999870,0.000130,0.996872,0.002997,
train_120_a,good,,graded,good,,0.768517,0.231483,0.385684,0.382833,
train_121_a,good,,graded,good,,0.996582,0.003418,0.967597,0.028985,
train_122_a,good,,graded,good,,0.960776,0.039224,0.733496,0.227280,
train_123_a,good,,graded,good,,0.860551,0.139449,0.648868,0.211682,
train_124_a,good,,graded,good,,0.723557,0.276443,0.377867,0.345690,
