key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
train_100_a,good,,graded,good,,0.998858,0.001142,0.775093,0.223765,
train_101_a,good,,graded,good,,0.999958,0.000042,0.960636,0.039322,
train_102_a,usable,,graded,usable,,0.992405,0.007595,0.170146,0.822259,
train_103_a,good,,graded,usable,,0.988662,0.011338,0.267992,0.720671,
train_104_a,good,,graded,good,,0.999705,0.000295,0.795700,0.204005,
train_105_a,good,,graded,usable,,0.991531,0.008469,0.218471,0.773059,
train_106_a,usable,,graded,bad,,0.065374,0.934626,0.000300,0.065074,
train_107_a,usable,,graded,usable,,0.820243,0.179757,0.051224,0.769019,
train_108_a,usable,,graded,usable,,0.739162,0.260838,0.044277,0.694885,
train_109_a,usable,,graded,usable,,0.674509,0.325491,0.002073,0.672435,
train_10_a,good,,graded,good,,0.999729,0.000271,0.927360,0.072369,
train_110_a,good,,graded,usable,,0.876212,0.123788,0.093031,0.783181,
train_111_a,good,,graded,usable,,0.891827,0.108173,0.012309,0.879518,
train_112_a,good,,graded,good,,0.999999,0.000001,0.998247,0.001752,
train_113_a,good,,graded,good,,0.999951,0.000049,0.911441,0.088511,
train_114_a,good,,graded,good,,0.999934,0.000066,0.842628,0.157307,
train_115_a,good,,graded,good,,0.999970,0.000031,0.985282,0.014688,
train_116_a,good,,graded,good,,0.999985,0.000015,0.992243,0.007742,
train_117_a,good,,graded,usable,,0.984495,0.015505,0.091698,0.892797,
train_118_a,good,,graded,good,,0.995712,0.004288,0.608949,0.386763,
train_119_a,good,,graded,good,,0.999701,0.000299,0.814464,0.185237,
train_11_a,good,,graded,good,,0.999684,0.000316,0.928148,0.071536,
train_120_a,good,,graded,usable,,0.947088,0.052912,0.220850,0.726238,
train_121_a,good,,graded,usable,,0.998651,0.001349,0.370105,0.628545,
train_122_a,good,,graded,usable,,0.873739,0.126261,0.076132,0.797607,
train_123_a,good,,graded,usable,,0.996987,0.003013,0.399600,0.597387,
train_124_a,good,,graded,usable,,0.977599,0.022401,0.299700,0.677899,
train_125_a,good,,graded,good,,0.997768,0.002232,0.531813,0.465954,
train_126_a,good,,graded,usable,,0.994735,0.005265,0.123386,0.871349,
train_127_a,good,,graded,usable,,0.957935,0.042065,0.038826,0.919109,
train_128_a,good,,graded,usable,,0.975222,0.024778,0.009046,0.966176,
train_129_a,good,,graded,good,,0.999680,0.000320,0.783459,0.216222,
train_12_a,good,,graded,good,,0.999436,0.000564,0.739706,0.259730,
train_130_a,good,,graded,usable,,0.886427,0.113573,0.075406,0.811021,
train_131_a,usable,,graded,usable,,0.984836,0.015164,0.288156,0.696680,
train_132_a,good,,graded,good,,0.998768,0.001232,0.575177,0.423591,
train_133_a,good,,graded,good,,0.999994,0.000006,0.991175,0.008819,
train_134_a,good,,graded,good,,0.973754,0.026246,0.571847,0.401906,
train_135_a,good,,graded,good,,0.999941,0.000059,0.962225,0.037716,
train_136_a,good,,graded,good,,0.999857,0.000143,0.918471,0.081387,
train_137_a,good,,graded,good,,0.997336,0.002664,0.769768,0.227569,
train_138_a,usable,,graded,usable,,0.526974,0.473025,0.012059,0.514916,
train_139_a,good,,graded,usable,,0.751268,0.248732,0.020304,0.730964,
train_13_a,good,,graded,good,,0.999731,0.000269,0.825265,0.174466,
train_140_a,good,,graded,usable,,0.982873,0.017127,0.171105,0.811769,
train_141_a,good,,graded,good,,0.996098,0.003902,0.764497,0.231601,
train_142_a,good,,graded,usable,,0.894905,0.105095,0.188794,0.706111,
train_143_a,bad,,graded,usable,,0.558191,0.441809,0.004117,0.554074,
train_144_a,good,,graded,bad,,0.322947,0.677053,0.006745,0.316202,
train_145_a,good,,graded,usable,,0.959028,0.040972,0.037473,0.921555,
train_146_a,good,,graded,usable,,0.946097,0.053903,0.021192,0.924905,
train_147_a,good,,graded,good,,0.999991,0.000009,0.992180,0.007811,
train_148_a,good,,graded,good,,0.997884,0.002116,0.529698,0.468185,
train_149_a,good,,graded,usable,,0.968629,0.031371,0.064920,0.903709,
train_14_a,good,,graded,usable,,0.980277,0.019723,0.240792,0.739485,
train_150_a,good,,graded,good,,0.999997,0.000003,0.996627,0.003370,
train_151_d,usable,,graded,usable,,0.905757,0.094243,0.010813,0.894944,
train_152_d,good,,graded,good,,0.999995,0.000005,0.996965,0.003030,
train_153_d,good,,graded,good,,0.999979,0.000021,0.991421,0.008559,
train_154_d,good,,graded,good,,0.999715,0.000285,0.775964,0.223750,
train_155_d,bad,,graded,bad,,0.117226,0.882774,0.000362,0.116864,
train_156_d,good,,graded,good,,0.998956,0.001044,0.821682,0.177274,
train_157_d,good,,graded,good,,0.998161,0.001839,0.506818,0.491343,
train_158_d,good,,graded,bad,,0.266442,0.733558,0.002259,0.264183,
train_159_d,good,,graded,good,,0.997015,0.002985,0.580970,0.416044,
train_15_a,good,,graded,good,,0.999210,0.000790,0.877091,0.122120,
train_160_d,good,,graded,good,,0.997908,0.002092,0.608744,0.389164,
train_161_d,good,,graded,good,,0.999989,0.000012,0.984585,0.015403,
train_162_d,good,,graded,good,,0.994500,0.005500,0.734874,0.259625,
train_163_d,bad,,graded,bad,,0.041282,0.958718,0.000210,0.041072,
train_164_d,good,,graded,good,,0.999995,0.000005,0.992306,0.007689,
train_165_d,usable,,graded,usable,,0.955457,0.044544,0.070028,0.885429,
train_166_d,bad,,graded,bad,,0.219997,0.780003,0.000176,0.219821,
train_167_d,good,,graded,usable,,0.995468,0.004532,0.381381,0.614087,
train_168_d,usable,,graded,bad,,0.269705,0.730295,0.000328,0.269377,
train_169_d,usable,,graded,usable,,0.786269,0.213731,0.051997,0.734272,
train_16_a,good,,graded,good,,0.999367,0.000633,0.930447,0.068921,
train_170_d,good,,graded,good,,0.999865,0.000135,0.901828,0.098038,
train_171_d,good,,graded,good,,0.999874,0.000126,0.848972,0.150902,
train_172_d,good,,graded,good,,0.999925,0.000075,0.920757,0.079169,
train_173_d,bad,,graded,bad,,0.177930,0.822070,0.000274,0.177656,
train_174_d,good,,graded,good,,0.997918,0.002082,0.668035,0.329883,
train_175_d,usable,,graded,usable,,0.937524,0.062476,0.028658,0.908866,
train_176_d,good,,graded,usable,,0.999218,0.000782,0.491704,0.507513,
train_177_d,good,,graded,good,,0.999976,0.000023,0.984262,0.015715,
train_178_d,good,,graded,good,,0.999686,0.000314,0.899253,0.100432,
train_179_d,good,,graded,usable,,0.988756,0.011244,0.285744,0.703013,
train_17_a,good,,graded,good,,0.999988,0.000012,0.985864,0.014124,
train_180_d,good,,graded,good,,0.999248,0.000752,0.894129,0.105119,
train_181_d,good,,graded,usable,,0.963554,0.036446,0.140837,0.822716,
train_182_d,good,,graded,good,,0.993184,0.006816,0.566185,0.426999,
train_183_d,good,,graded,good,,0.998489,0.001511,0.741375,0.257114,
train_184_d,good,,graded,good,,0.997516,0.002484,0.787851,0.209665,
train_185_d,good,,graded,good,,0.999976,0.000024,0.968796,0.031180,
train_186_d,good,,graded,good,,0.996509,0.003491,0.635727,0.360782,
train_187_d,good,,graded,usable,,0.988445,0.011555,0.203067,0.785378,
train_188_d,good,,graded,good,,0.999900,0.000100,0.940642,0.059258,
train_189_d,usable,,graded,usable,,0.993207,0.006793,0.213614,0.779594,
train_18_a,good,,graded,usable,,0.977727,0.022273,0.110072,0.867656,
train_190_d,good,,graded,usable,,0.673989,0.326011,0.202698,0.471291,
train_191_d,good,,graded,good,,0.999999,0.000001,0.994422,0.005577,
train_192_d,good,,graded,good,,0.999998,0.000002,0.995302,0.004695,
train_193_d,good,,graded,good,,0.999994,0.000006,0.993450,0.006543,
train_194_d,good,,graded,usable,,0.993550,0.006450,0.361118,0.632431,
train_195_d,good,,graded,usable,,0.997143,0.002857,0.431488,0.565655,
train_196_d,good,,graded,usable,,0.902227,0.097773,0.324987,0.577241,
train_197_d,good,,graded,good,,0.999998,0.000002,0.993641,0.006357,
train_198_d,good,,graded,usable,,0.937176,0.062824,0.239713,0.697463,
train_199_d,usable,,graded,usable,,0.952257,0.047743,0.230105,0.722153,
train_19_a,good,,graded,good,,0.999961,0.000039,0.971433,0.028528,
train_1_a,good,,graded,good,,0.999465,0.000535,0.907342,0.092123,
train_200_d,good,,graded,good,,0.999989,0.000011,0.982915,0.017074,
train_201_d,bad,,graded,usable,,0.553081,0.446919,0.000857,0.552225,
train_202_d,good,,graded,usable,,0.845678,0.154322,0.411585,0.434093,
train_203_d,good,,graded,good,,0.999986,0.000014,0.986679,0.013307,
train_204_d,good,,graded,usable,,0.989161,0.010839,0.448269,0.540892,
train_205_d,good,,graded,good,,0.999037,0.000963,0.932226,0.066812,
train_206_d,good,,graded,usable,,0.997164,0.002836,0.340761,0.656403,
train_207_d,good,,graded,good,,0.999987,0.000013,0.987475,0.012512,
train_208_d,good,,graded,bad,,0.091572,0.908428,0.004179,0.087393,
train_209_d,good,,graded,usable,,0.965558,0.034442,0.291352,0.674205,
train_20_a,good,,graded,good,,0.999989,0.000011,0.989201,0.010788,
train_210_d,usable,,graded,bad,,0.061597,0.938403,0.001074,0.060523,
train_211_d,good,,graded,usable,,0.867607,0.132393,0.029198,0.838410,
train_212_d,good,,graded,good,,0.999251,0.000749,0.505640,0.493611,
train_213_d,good,,graded,good,,0.999977,0.000023,0.971737,0.028239,
train_214_d,good,,graded,usable,,0.988606,0.011394,0.437302,0.551304,
train_215_d,bad,,graded,usable,,0.966099,0.033901,0.093114,0.872985,
train_216_d,good,,graded,good,,0.999761,0.000239,0.868193,0.131568,
train_217_d,good,,graded,good,,0.994350,0.005650,0.788624,0.205726,
train_218_d,good,,graded,good,,0.999423,0.000577,0.946793,0.052630,
train_219_d,usable,,graded,usable,,0.771326,0.228674,0.089845,0.681481,
train_21_a,good,,graded,good,,0.999681,0.000319,0.912950,0.086731,
train_220_d,good,,graded,good,,0.999860,0.000140,0.828737,0.171123,
train_221_d,good,,graded,usable,,0.990810,0.009190,0.116486,0.874324,
train_222_d,bad,,graded,bad,,0.070271,0.929729,0.000135,0.070136,
train_223_d,usable,,graded,usable,,0.818017,0.181983,0.014881,0.803136,
train_224_d,good,,graded,good,,0.994595,0.005405,0.765488,0.229108,
train_225_d,good,,graded,good,,0.999071,0.000929,0.624531,0.374540,
train_226_d,good,,graded,good,,0.999929,0.000071,0.973370,0.026558,
train_227_d,good,,graded,good,,0.999977,0.000023,0.973007,0.026971,
train_228_d,good,,graded,good,,0.997695,0.002305,0.516618,0.481077,
train_229_d,good,,graded,good,,0.999854,0.000146,0.982598,0.017256,
train_22_a,good,,graded,good,,0.997432,0.002568,0.692403,0.305028,
train_230_d,good,,graded,usable,,0.995805,0.004195,0.202794,0.793011,
train_231_d,bad,,graded,bad,,0.001576,0.998424,0.000001,0.001575,
train_232_d,good,,graded,usable,,0.992978,0.007022,0.448603,0.544375,
train_233_d,good,,graded,usable,,0.971749,0.028251,0.311186,0.660563,
train_234_d,good,,graded,usable,,0.812496,0.187504,0.084851,0.727644,
train_235_d,good,,graded,good,,0.998034,0.001966,0.668403,0.329630,
train_236_d,good,,graded,good,,0.999933,0.000067,0.910545,0.089387,
train_237_d,bad,,graded,bad,,0.206649,0.793351,0.003131,0.203518,
train_238_d,good,,graded,usable,,0.987578,0.012422,0.113386,0.874192,
train_239_d,good,,graded,good,,0.998367,0.001634,0.567353,0.431014,
train_23_a,good,,graded,good,,0.999707,0.000293,0.915078,0.084629,
train_240_d,good,,graded,usable,,0.991964,0.008036,0.484896,0.507068,
train_241_d,good,,graded,usable,,0.803312,0.196688,0.008281,0.795030,
train_242_d,usable,,graded,usable,,0.789972,0.210028,0.023319,0.766652,
train_243_d,good,,graded,good,,0.996640,0.003360,0.636096,0.360545,
train_244_d,good,,graded,good,,0.999984,0.000016,0.992522,0.007462,
train_245_d,good,,graded,usable,,0.955387,0.044613,0.058709,0.896678,
train_246_d,good,,graded,good,,0.999567,0.000433,0.785803,0.213764,
train_247_d,usable,,graded,usable,,0.932002,0.067998,0.068384,0.863618,
train_248_d,good,,graded,good,,0.999146,0.000854,0.825987,0.173159,
train_249_d,good,,graded,usable,,0.898453,0.101547,0.144902,0.753552,
train_24_a,good,,graded,good,,0.999930,0.000070,0.926052,0.073878,
train_250_d,usable,,graded,bad,,0.367392,0.632608,0.010966,0.356426,
train_251_d,good,,graded,usable,,0.949848,0.050152,0.473147,0.476701,
train_252_d,usable,,graded,usable,,0.949228,0.050772,0.155901,0.793327,
train_253_d,good,,graded,usable,,0.691607,0.308393,0.022201,0.669406,
train_254_d,good,,graded,good,,0.999969,0.000031,0.963909,0.036060,
train_255_d,good,,graded,good,,0.994276,0.005724,0.687671,0.306605,
train_256_d,bad,,graded,bad,,0.079254,0.920745,0.000762,0.078493,
train_257_d,good,,graded,good,,0.999768,0.000232,0.969748,0.030020,
train_258_d,good,,graded,usable,,0.994713,0.005287,0.479991,0.514722,
train_259_d,good,,graded,usable,,0.987530,0.012470,0.379663,0.607867,
train_25_a,good,,graded,good,,0.999997,0.000003,0.998619,0.001378,
train_260_d,usable,,graded,usable,,0.933466,0.066534,0.035056,0.898409,
train_261_d,good,,graded,good,,0.998604,0.001396,0.660814,0.337790,
train_262_d,good,,graded,good,,0.999975,0.000025,0.930659,0.069316,
train_263_d,good,,graded,good,,0.999995,0.000005,0.985207,0.014788,
train_264_d,good,,graded,good,,0.999951,0.000049,0.988308,0.011643,
train_265_d,good,,graded,good,,0.999891,0.000109,0.927707,0.072184,
train_266_d,usable,,graded,bad,,0.373030,0.626970,0.009388,0.363642,
train_267_d,usable,,graded,bad,,0.020991,0.979009,0.000576,0.020415,
train_268_d,usable,,graded,usable,,0.934439,0.065561,0.018392,0.916047,
train_269_d,usable,,graded,usable,,0.845545,0.154455,0.191110,0.654436,
train_26_a,good,,graded,good,,0.999959,0.000041,0.980831,0.019128,
train_270_d,usable,,graded,bad,,0.058736,0.941264,0.000232,0.058504,
train_271_d,good,,graded,good,,0.999586,0.000414,0.845447,0.154140,
train_272_d,good,,graded,good,,0.999035,0.000965,0.610107,0.388928,
train_273_d,good,,graded,good,,0.999944,0.000056,0.979924,0.020020,
train_274_d,good,,graded,good,,0.999809,0.000191,0.924728,0.075081,
train_275_d,good,,graded,usable,,0.973754,0.026246,0.335519,0.638235,
train_276_d,good,,graded,good,,0.999666,0.000334,0.940684,0.058982,
train_277_d,bad,,graded,bad,,0.244833,0.755167,0.000136,0.244697,
train_278_d,usable,,graded,usable,,0.682044,0.317956,0.022245,0.659799,
train_279_d,good,,graded,good,,0.999905,0.000095,0.960335,0.039569,
train_27_a,good,,graded,usable,,0.974958,0.025042,0.048288,0.926669,
train_280_d,bad,,graded,usable,,0.939281,0.060719,0.057841,0.881440,
train_281_d,bad,,graded,bad,,0.422323,0.577677,0.001542,0.420781,
train_282_d,good,,graded,usable,,0.954834,0.045166,0.426944,0.527890,
train_283_d,usable,,graded,usable,,0.844194,0.155806,0.004761,0.839433,
train_284_d,bad,,graded,bad,,0.355009,0.644991,0.000199,0.354810,
train_285_d,usable,,graded,bad,,0.232779,0.767221,0.006597,0.226182,
train_286_d,good,,graded,good,,0.999891,0.000109,0.927630,0.072261,
train_287_d,usable,,graded,bad,,0.060096,0.939904,0.000268,0.059829,
train_288_d,good,,graded,good,,0.999918,0.000083,0.961235,0.038683,
train_289_d,good,,graded,good,,0.969846,0.030154,0.485887,0.483959,
train_28_a,good,,graded,good,,0.999998,0.000002,0.996793,0.003205,
train_290_d,good,,graded,good,,0.977090,0.022910,0.501685,0.475406,
train_291_d,good,,graded,good,,0.999980,0.000020,0.980452,0.019528,
train_292_d,good,,graded,good,,0.999987,0.000013,0.986658,0.013329,
train_293_d,good,,graded,good,,0.999741,0.000259,0.889769,0.109973,
train_294_d,usable,,graded,usable,,0.976918,0.023082,0.464512,0.512406,
train_295_d,good,,graded,good,,0.999964,0.000037,0.938831,0.061133,
train_296_d,good,,graded,usable,,0.996856,0.003144,0.483396,0.513460,
train_297_d,usable,,graded,bad,,0.228094,0.771906,0.002784,0.225310,
train_298_d,usable,,graded,usable,,0.759583,0.240417,0.144129,0.615454,
train_299_d,usable,,graded,bad,,0.215198,0.784802,0.003355,0.211843,
train_29_a,bad,,graded,bad,,0.073604,0.926396,0.000475,0.073130,
train_2_a,good,,graded,good,,0.999977,0.000023,0.982210,0.017767,
train_300_d,good,,graded,usable,,0.983366,0.016634,0.100709,0.882657,
train_301_g,bad,,graded,usable,,0.884021,0.115979,0.020538,0.863483,
train_302_g,usable,,graded,usable,,0.827207,0.172793,0.038122,0.789085,
train_303_g,usable,,graded,usable,,0.545851,0.454149,0.001647,0.544204,
train_304_g,good,,graded,usable,,0.956095,0.043905,0.106907,0.849189,
train_305_g,good,,graded,good,,0.999995,0.000005,0.983489,0.016506,
train_306_g,good,,graded,good,,0.989232,0.010768,0.514308,0.474924,
train_307_g,usable,,graded,usable,,0.989893,0.010107,0.070979,0.918914,
train_308_g,good,,graded,bad,,0.368869,0.631131,0.102383,0.266486,
train_309_g,usable,,graded,usable,,0.555783,0.444217,0.010470,0.545313,
train_30_a,good,,graded,good,,0.999956,0.000044,0.974056,0.025900,
train_310_g,good,,graded,good,,0.995888,0.004112,0.663599,0.332289,
train_311_g,good,,graded,good,,0.999885,0.000115,0.934306,0.065579,
train_312_g,good,,graded,good,,0.999989,0.000011,0.990395,0.009594,
train_313_g,good,,graded,good,,0.999984,0.000016,0.953140,0.046843,
train_314_g,good,,graded,good,,0.999655,0.000345,0.893392,0.106263,
train_315_g,good,,graded,good,,0.999967,0.000033,0.978802,0.021165,
train_316_g,bad,,graded,bad,,0.000961,0.999039,0.000000,0.000961,
train_317_g,usable,,graded,good,,0.999848,0.000152,0.801055,0.198793,
train_318_g,good,,graded,good,,0.998606,0.001394,0.658987,0.339619,
train_319_g,bad,,graded,bad,,0.008718,0.991282,0.000001,0.008717,
train_31_a,good,,graded,good,,0.999856,0.000144,0.948325,0.051531,
train_320_g,usable,,graded,usable,,0.992276,0.007724,0.375959,0.616317,
train_321_g,bad,,graded,usable,,0.532175,0.467825,0.001374,0.530801,
train_322_g,good,,graded,usable,,0.970532,0.029468,0.131571,0.838961,
train_323_g,bad,,graded,bad,,0.158312,0.841688,0.000159,0.158153,
train_324_g,bad,,graded,usable,,0.787305,0.212695,0.005147,0.782158,
train_325_g,bad,,graded,bad,,0.020624,0.979376,0.000004,0.020620,
train_326_g,bad,,graded,bad,,0.005732,0.994268,0.000000,0.005732,
train_327_g,good,,graded,good,,0.999994,0.000006,0.987045,0.012948,
train_328_g,usable,,graded,good,,0.998534,0.001466,0.642782,0.355752,
train_329_g,good,,graded,good,,0.999943,0.000057,0.961890,0.038054,
train_32_a,good,,graded,good,,0.999964,0.000036,0.876530,0.123434,
train_330_g,usable,,graded,usable,,0.950092,0.049908,0.040110,0.909982,
train_331_g,bad,,graded,bad,,0.000456,0.999544,0.000000,0.000456,
train_332_g,usable,,graded,usable,,0.972624,0.027376,0.061814,0.910810,
train_333_g,good,,graded,usable,,0.992976,0.007024,0.426850,0.566126,
train_334_g,bad,,graded,bad,,0.176800,0.823200,0.000145,0.176654,
train_335_g,usable,,graded,usable,,0.709024,0.290976,0.017358,0.691666,
train_336_g,usable,,graded,usable,,0.998571,0.001429,0.319420,0.679151,
train_337_g,usable,,graded,usable,,0.970725,0.029275,0.013783,0.956942,
train_338_g,usable,,graded,usable,,0.978492,0.021508,0.126286,0.852206,
train_339_g,good,,graded,good,,0.999943,0.000057,0.956348,0.043595,
train_33_a,good,,graded,good,,0.999866,0.000134,0.941987,0.057879,
train_340_g,good,,graded,good,,0.999933,0.000067,0.952209,0.047724,
train_341_g,bad,,graded,bad,,0.000875,0.999125,0.000000,0.000875,
train_342_g,good,,graded,good,,0.999982,0.000018,0.981370,0.018612,
train_343_g,good,,graded,good,,0.999459,0.000541,0.786560,0.212899,
train_344_g,good,,graded,good,,0.999998,0.000002,0.996227,0.003771,
train_345_g,good,,graded,good,,1.000000,0.000000,0.999113,0.000886,
train_346_g,good,,graded,good,,0.999964,0.000036,0.968454,0.031510,
train_347_g,good,,graded,good,,0.999998,0.000002,0.996853,0.003144,
train_348_g,good,,graded,good,,0.999993,0.000007,0.980048,0.019945,
