key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
img_00000,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,,0.874278,0.125722,0.099578,0.774700,
img_00001,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,,0.037614,0.962386,0.000094,0.037519,
img_00002,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,,0.598910,0.401090,0.003873,0.595037,
img_00003,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,bad,,0.028020,0.971980,0.000198,0.027822,
img_00004,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,,0.001118,0.998882,0.000002,0.001116,
img_00005,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,bad,,0.045898,0.954102,0.000795,0.045102,
img_00006,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,,0.000005,0.999995,0.000000,0.000005,
img_00007,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,,0.999960,0.000040,0.989050,0.010911,
img_00016,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,,0.999998,0.000002,0.998743,0.001256,
img_00026,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,usable,,0.973339,0.026661,0.246708,0.726630,
img_00046,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,,0.999979,0.000021,0.992028,0.007951,
img_00047,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,good,,0.999898,0.000102,0.969988,0.029911,
img_00048,usable,consensus=usable;level1=usable;level2=good;level3=usable,graded,good,,0.999978,0.000022,0.993092,0.006886,
img_00049,good,consensus=good;level1=good;level2=good;level3=good,graded,good,,0.999981,0.000020,0.996107,0.003873,
img_00056,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,,0.999952,0.000048,0.990320,0.009632,
img_00057,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,,0.999999,0.000001,0.998852,0.001147,
img_00058,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,good,,0.999994,0.000006,0.991387,0.008607,
img_00059,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,,0.999973,0.000027,0.983631,0.016342,
img_00060,good,consensus=good;level1=good;level2=good;level3=usable,graded,usable,,0.600512,0.399488,0.118109,0.482403,
img_00073,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,usable,,0.948657,0.051343,0.129935,0.818722,
img_00074,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,,0.944622,0.055378,0.104956,0.839666,
img_00077,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,good,,0.999864,0.000136,0.703778,0.296086,
img_00082,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,,0.990327,0.009673,0.334568,0.655759,
img_00084,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,,0.999819,0.000181,0.911671,0.088148,
img_00085,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,,0.999079,0.000921,0.724382,0.274697,
img_00086,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,,0.999810,0.000190,0.952138,0.047672,
img_00087,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,,0.997144,0.002856,0.628614,0.368530,
img_00089,good,consensus=good;level1=good;level2=good;level3=good,graded,good,,0.999990,0.000010,0.994462,0.005528,
img_00090,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,,0.893461,0.106539,0.141485,0.751976,
img_00096,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,,0.494817,0.505183,0.000752,0.494064,
img_00097,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,,0.017212,0.982788,0.000004,0.017208,
img_00098,good,consensus=good;level1=good;level2=usable;level3=good,graded,good,,0.999969,0.000031,0.975247,0.024722,
img_00099,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,,0.999885,0.000115,0.935441,0.064445,
img_00100,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,,0.999310,0.000690,0.742025,0.257285,
img_00101,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,,0.999831,0.000169,0.951542,0.048289,
img_00102,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,,0.989876,0.010124,0.482862,0.507014,
img_00103,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,bad,,0.086285,0.913715,0.003086,0.083199,
img_00104,good,consensus=good;level1=good;level2=good;level3=good,graded,good,,0.999800,0.000200,0.969109,0.030691,
img_00105,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,,0.940565,0.059435,0.215527,0.725038,
img_00106,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,,0.893983,0.106017,0.019465,0.874518,
img_00107,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,good,,0.992778,0.007222,0.754521,0.238257,
img_00110,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,usable,,0.949915,0.050085,0.142990,0.806924,
img_00111,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,,0.868850,0.131150,0.036577,0.832273,
img_00112,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,good,,0.997346,0.002654,0.721854,0.275492,
img_00113,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,good,,0.979054,0.020946,0.767945,0.211109,
img_00114,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,good,,0.995553,0.004447,0.662249,0.333304,
img_00115,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,,0.033501,0.966499,0.000036,0.033466,
img_00116,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,,0.000508,0.999492,0.000000,0.000508,
img_00117,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,,0.004226,0.995774,0.000001,0.004225,
img_00118,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,good,,0.999871,0.000129,0.967556,0.032315,
img_00119,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,good,,0.999997,0.000003,0.992377,0.007620,
img_00120,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,usable,,0.966344,0.033656,0.046212,0.920132,
img_00121,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,,0.112399,0.887601,0.005289,0.107110,
img_00122,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,,0.002402,0.997598,0.000000,0.002402,
img_00127,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,,0.105411,0.894589,0.000053,0.105358,
img_00131,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,,0.883399,0.116601,0.085143,0.798257,
img_00132,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,,0.344346,0.655654,0.003366,0.340981,
img_00133,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,,0.850850,0.149150,0.004645,0.846205,
img_00134,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,,0.784492,0.215508,0.004830,0.779662,
img_00139,good,consensus=good;level1=good;level2=good;level3=good,graded,good,,0.999999,0.000001,0.998724,0.001275,
img_00140,good,consensus=good;level1=good;level2=good;level3=good,graded,good,,0.998888,0.001112,0.720256,0.278632,
