key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
train_dr_xju_134,good,annotator1=bad;annotator2=good;annotator3=good;consensus=good,graded,usable,,0.876008,0.123992,0.345484,0.530525,
train_dr_xju_86,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.305347,0.694653,0.010080,0.295266,
train_dr_xju_87,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.134154,0.865846,0.013121,0.121033,
train_dr_xju_88,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.402391,0.597609,0.013878,0.388513,
train_dr_xju_89,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.151705,0.848295,0.014296,0.137409,
train_dr_zju_1,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.990374,0.009626,0.228733,0.761641,
train_dr_zju_100,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.998840,0.001160,0.796089,0.202751,
train_dr_zju_101,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999650,0.000350,0.857077,0.142573,
train_dr_zju_103,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999974,0.000026,0.972392,0.027582,
train_dr_zju_104,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999968,0.000032,0.980809,0.019160,
train_dr_zju_105,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999085,0.000915,0.745558,0.253527,
train_dr_zju_106,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.994339,0.005661,0.543092,0.451247,
train_dr_zju_107,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999123,0.000877,0.855217,0.143906,
train_dr_zju_108,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.998701,0.001299,0.863123,0.135578,
train_dr_zju_109,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.991503,0.008497,0.574756,0.416747,
train_dr_zju_110,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999709,0.000291,0.906164,0.093546,
train_dr_zju_111,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.990595,0.009405,0.435800,0.554795,
train_dr_zju_112,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999988,0.000012,0.991183,0.008805,
train_dr_zju_113,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.008475,0.991525,0.000001,0.008474,
train_dr_zju_114,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.065853,0.934147,0.000077,0.065775,
train_dr_zju_115,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.995772,0.004228,0.830174,0.165597,
train_dr_zju_116,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.998833,0.001167,0.890972,0.107861,
train_dr_zju_117,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.897513,0.102487,0.035320,0.862193,
train_dr_zju_118,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.898188,0.101812,0.065383,0.832804,
train_dr_zju_119,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999951,0.000049,0.972467,0.027484,
train_dr_zju_12,good,annotator1=good;annotator2=good;annotator3=good,graded,bad,,0.484354,0.515646,0.011780,0.472574,
train_dr_zju_120,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.997837,0.002163,0.563951,0.433887,
train_dr_zju_121,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999994,0.000006,0.992966,0.007028,
train_dr_zju_122,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999975,0.000025,0.965206,0.034769,
train_dr_zju_123,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999932,0.000068,0.979162,0.020769,
train_dr_zju_124,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999992,0.000008,0.985678,0.014314,
train_dr_zju_125,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999729,0.000271,0.936507,0.063222,
train_dr_zju_126,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999918,0.000082,0.958300,0.041618,
train_dr_zju_127,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.991006,0.008994,0.208200,0.782806,
train_dr_zju_128,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.996007,0.003993,0.753141,0.242866,
train_dr_zju_129,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.997646,0.002354,0.824959,0.172687,
train_dr_zju_13,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.971916,0.028084,0.032819,0.939097,
train_dr_zju_130,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999504,0.000496,0.937280,0.062224,
train_dr_zju_131,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.996047,0.003953,0.772877,0.223170,
train_dr_zju_132,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.066874,0.933126,0.000318,0.066556,
train_dr_zju_133,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.863437,0.136563,0.114097,0.749340,
train_dr_zju_134,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.997176,0.002824,0.634047,0.363128,
train_dr_zju_136,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999592,0.000408,0.744936,0.254656,
train_dr_zju_138,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.150908,0.849092,0.002640,0.148268,
train_dr_zju_139,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999856,0.000144,0.898358,0.101498,
train_dr_zju_14,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.128161,0.871839,0.000504,0.127657,
train_dr_zju_140,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.999000,0.001000,0.471506,0.527494,
train_dr_zju_141,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999986,0.000013,0.977960,0.022026,
train_dr_zju_142,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999988,0.000012,0.969258,0.030730,
train_dr_zju_143,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999997,0.000003,0.994601,0.005396,
train_dr_zju_144,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999812,0.000188,0.934856,0.064956,
train_dr_zju_145,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.997911,0.002089,0.416952,0.580959,
train_dr_zju_146,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.990508,0.009492,0.296648,0.693860,
train_dr_zju_147,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.004940,0.995060,0.000010,0.004930,
train_dr_zju_148,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999987,0.000013,0.990915,0.009073,
train_dr_zju_149,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999893,0.000107,0.946075,0.053818,
train_dr_zju_15,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.033742,0.966258,0.000340,0.033403,
train_dr_zju_150,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999997,0.000003,0.975655,0.024343,
train_dr_zju_16,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999993,0.000007,0.991856,0.008138,
train_dr_zju_17,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999600,0.000400,0.732556,0.267044,
train_dr_zju_18,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.977302,0.022698,0.158404,0.818898,
train_dr_zju_19,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.965221,0.034779,0.132809,0.832412,
train_dr_zju_2,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.995462,0.004538,0.642467,0.352995,
train_dr_zju_20,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.995132,0.004868,0.381789,0.613343,
train_dr_zju_21,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999995,0.000005,0.988791,0.011204,
train_dr_zju_22,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999982,0.000018,0.976834,0.023149,
train_dr_zju_23,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999858,0.000142,0.961445,0.038413,
train_dr_zju_24,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.017331,0.982669,0.000097,0.017233,
train_dr_zju_25,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999714,0.000285,0.822231,0.177483,
train_dr_zju_26,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.816929,0.183071,0.026614,0.790315,
train_dr_zju_27,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.015378,0.984622,0.000010,0.015369,
train_dr_zju_28,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.776720,0.223280,0.069449,0.707270,
train_dr_zju_29,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.843157,0.156843,0.087611,0.755546,
train_dr_zju_3,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.275197,0.724803,0.007705,0.267492,
train_dr_zju_30,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999845,0.000155,0.840245,0.159600,
train_dr_zju_31,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.970270,0.029730,0.036397,0.933873,
train_dr_zju_32,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.965958,0.034042,0.282704,0.683254,
train_dr_zju_33,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,usable,,0.594658,0.405342,0.039599,0.555059,
train_dr_zju_34,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.979375,0.020625,0.096181,0.883194,
train_dr_zju_35,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.987108,0.012892,0.061654,0.925454,
train_dr_zju_36,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.620019,0.379982,0.113967,0.506052,
train_dr_zju_38,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999996,0.000004,0.993775,0.006222,
train_dr_zju_39,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999979,0.000021,0.988079,0.011900,
train_dr_zju_4,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999936,0.000064,0.980700,0.019236,
train_dr_zju_40,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999987,0.000013,0.982230,0.017757,
train_dr_zju_41,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999987,0.000013,0.990230,0.009757,
train_dr_zju_42,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999963,0.000037,0.972660,0.027303,
train_dr_zju_43,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999905,0.000095,0.940776,0.059130,
train_dr_zju_44,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.462877,0.537123,0.011137,0.451740,
train_dr_zju_45,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999967,0.000033,0.990815,0.009152,
train_dr_zju_46,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999997,0.000003,0.995053,0.004944,
train_dr_zju_48,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.987395,0.012605,0.107036,0.880359,
train_dr_zju_49,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.994420,0.005580,0.570548,0.423872,
train_dr_zju_5,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.053569,0.946431,0.000072,0.053497,
train_dr_zju_50,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.983745,0.016255,0.412845,0.570901,
train_dr_zju_51,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.150243,0.849757,0.005462,0.144780,
train_dr_zju_52,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.871276,0.128724,0.124842,0.746434,
train_dr_zju_53,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,usable,,0.504255,0.495745,0.001270,0.502985,
train_dr_zju_54,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.960964,0.039036,0.247227,0.713736,
train_dr_zju_56,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.082784,0.917216,0.000035,0.082749,
train_dr_zju_58,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.906358,0.093642,0.224754,0.681604,
train_dr_zju_59,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.862578,0.137422,0.095112,0.767466,
train_dr_zju_6,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999503,0.000497,0.893428,0.106075,
train_dr_zju_60,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.996559,0.003441,0.813367,0.183193,
train_dr_zju_61,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.990805,0.009195,0.538031,0.452774,
train_dr_zju_62,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.998891,0.001109,0.686053,0.312838,
train_dr_zju_63,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.923867,0.076133,0.123110,0.800757,
train_dr_zju_64,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.504769,0.495231,0.020973,0.483796,
train_dr_zju_65,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.925817,0.074183,0.207064,0.718754,
train_dr_zju_66,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999960,0.000040,0.971511,0.028449,
train_dr_zju_67,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999973,0.000027,0.977146,0.022827,
train_dr_zju_68,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999650,0.000350,0.921854,0.077796,
train_dr_zju_69,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.442657,0.557343,0.034840,0.407817,
train_dr_zju_7,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.748148,0.251852,0.039998,0.708150,
train_dr_zju_71,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999912,0.000088,0.917749,0.082162,
train_dr_zju_72,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.994802,0.005198,0.641833,0.352969,
train_dr_zju_73,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.994029,0.005971,0.271105,0.722923,
train_dr_zju_74,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.983536,0.016464,0.529845,0.453691,
train_dr_zju_75,good,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.998403,0.001597,0.774055,0.224347,
train_dr_zju_76,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.290626,0.709374,0.030949,0.259677,
train_dr_zju_77,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.808982,0.191018,0.076462,0.732520,
train_dr_zju_78,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.973524,0.026476,0.447529,0.525994,
