key,grade,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
train_local1_1,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,,0.999731,0.000269,0.978109,0.021623,
train_local1_10,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,,0.999942,0.000058,0.985472,0.014470,
train_local1_100,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.069171,0.930829,0.000090,0.069081,
train_local1_101,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.053907,0.946093,0.000083,0.053824,
train_local1_102,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.009255,0.990745,0.000004,0.009251,
train_local1_103,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.079632,0.920368,0.001086,0.078546,
train_local1_104,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.003857,0.996143,0.000001,0.003856,
train_local1_105,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.042624,0.957376,0.000606,0.042018,
train_local1_106,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.044944,0.955056,0.000280,0.044663,
train_local1_107,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.000334,0.999666,0.000000,0.000334,
train_local1_108,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.018305,0.981695,0.000016,0.018289,
train_local1_109,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.023081,0.976919,0.000016,0.023065,
train_local1_11,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,good,,0.999905,0.000095,0.986246,0.013659,
train_local1_110,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.000104,0.999896,0.000000,0.000104,
train_local1_111,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.000002,0.999998,0.000000,0.000002,
train_local1_112,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.002320,0.997680,0.000004,0.002316,
train_local1_113,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.000245,0.999755,0.000000,0.000245,
train_local1_114,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.005079,0.994921,0.000002,0.005077,
train_local1_115,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.007458,0.992542,0.000002,0.007456,
train_local1_116,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,good,,0.989511,0.010489,0.639900,0.349611,
train_local1_117,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.466445,0.533555,0.030893,0.435553,
train_local1_118,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.001922,0.998078,0.000000,0.001922,
train_local1_119,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.000146,0.999854,0.000000,0.000146,
train_local1_12,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,,0.999884,0.000116,0.988812,0.011072,
train_local1_120,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.010095,0.989905,0.000716,0.009379,
train_local1_121,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.003337,0.996663,0.000006,0.003331,
train_local1_122,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.007239,0.992761,0.000182,0.007057,
train_local1_123,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.013924,0.986076,0.000435,0.013489,
train_local1_124,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.022649,0.977351,0.002118,0.020531,
train_local1_125,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.030844,0.969156,0.000393,0.030451,
train_local1_126,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.002069,0.997931,0.000003,0.002066,
train_local1_127,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.001324,0.998676,0.000001,0.001322,
train_local1_128,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.004575,0.995425,0.000007,0.004567,
train_local1_129,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,usable,,0.914265,0.085735,0.307779,0.606485,
train_local1_13,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,,0.999957,0.000043,0.992286,0.007670,
train_local1_130,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,usable,,0.762517,0.237483,0.029086,0.733432,
train_local1_131,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.000151,0.999849,0.000000,0.000150,
train_local1_132,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.006571,0.993429,0.000089,0.006481,
train_local1_133,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.010369,0.989631,0.000012,0.010357,
train_local1_134,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,,0.000916,0.999084,0.000000,0.000915,
